agent_name,dict_size,with_random_win_rate,without_random_win_rate,delta_win_rate
greedy,1000,0.625000,0.500000,-0.125000
minimax,1000,0.875000,0.833333,-0.041667
monte_carlo,1000,0.375000,0.166667,-0.208333
greedy,3000,0.500000,0.500000,0.000000
minimax,3000,0.875000,0.833333,-0.041667
monte_carlo,3000,0.375000,0.166667,-0.208333
greedy,5000,0.625000,0.500000,-0.125000
minimax,5000,0.875000,0.833333,-0.041667
monte_carlo,5000,0.375000,0.166667,-0.208333
greedy,10000,0.500000,0.333333,-0.166667
minimax,10000,0.875000,0.833333,-0.041667
monte_carlo,10000,0.500000,0.333333,-0.166667
