position_id,seed,split,category,turn,depth,branch_limit,full_config_id,selective_config_id,full_complete,selective_complete,comparable,full_selected_edge,selective_selected_edge,move_agreement,score_agreement,full_score,selective_score,full_time_sec,selective_time_sec,selective_speedup,full_nodes,selective_nodes,selective_node_ratio,full_root_candidates,selective_root_candidates,full_root_completion_rate,selective_root_completion_rate,full_timed_out,selective_timed_out
seed0_early_pruning_t17,0,tuning,early_pruning,17,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,28→58,28→58,True,True,369.5,369.5,0.08009295794181526,0.015468166209757328,5.177921988664214,865,180,0.20809248554913296,37,8,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,False,True,False,20→20,20→20,,,1495.4297826086956,1495.4297826086956,1.0000617909245193,0.016738499980419874,59.74620139763763,10001,133,0.013298670132986702,2248,8,0.3238434163701068,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,35→32,35→32,True,True,429.5,429.5,0.026047541992738843,0.014098250074312091,1.8475727026717397,283,168,0.5936395759717314,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,11→46,11→58,False,True,308.0,308.0,0.09619408403523266,0.021848791046068072,4.402718842997212,1008,282,0.27976190476190477,32,8,1.0,1.0,False,False
seed0_middle_t27,0,tuning,middle,27,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,63→46,63→46,True,True,239.5,239.5,0.014998999889940023,0.01160987513139844,1.2919174168700431,162,129,0.7962962962962963,9,8,1.0,1.0,False,False
seed1_early_pruning_t75,1,tuning,early_pruning,75,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,2→55,2→55,True,False,664.0,708.5,0.1567093338817358,0.015513624995946884,10.10140015133007,1502,171,0.11384820239680427,37,8,1.0,1.0,False,False
seed1_early_t0,1,tuning,early,0,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,False,True,False,0→20,4→35,,,1456.5,518.5,1.0000374999362975,0.013571666786447167,73.68568029793859,9669,96,0.009928637914986037,2284,8,0.2105954465849387,1.0,True,False
seed1_late_t236,1,tuning,late,236,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,35→56,35→56,True,True,624.0,624.0,0.02616475010290742,0.010660083964467049,2.4544600389754554,300,134,0.44666666666666666,7,7,1.0,1.0,False,False
seed1_middle_t120,1,tuning,middle,120,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,9→20,9→14,False,False,1278.6854347826086,1094.0313636363637,0.13070108299143612,0.01768966717645526,7.38855523327187,1248,226,0.18108974358974358,47,8,1.0,1.0,False,False
seed2_early_pruning_t10,2,validation,early_pruning,10,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,63→59,63→59,True,True,388.0,388.0,0.020170124946162105,0.013294708915054798,1.5171543111652226,226,141,0.6238938053097345,10,8,1.0,1.0,False,False
seed2_early_t0,2,validation,early,0,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,False,True,False,0→20,0→35,,,1177.5,789.0,1.000032417010516,0.017109999898821115,58.447248563655364,9561,143,0.014956594498483423,2252,8,0.14431616341030196,1.0,True,False
seed2_few_legal_t64,2,validation,few_legal,64,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,20→2,20→2,True,False,1326.5,1387.5283333333334,0.040222207782790065,0.010483167134225368,3.836837404935851,295,90,0.3050847457627119,6,6,1.0,1.0,False,False
