profile,position_id,ply,beam_width,ordering_call_count,mean_top_score_gap_at_ply
gap_conservative,seed0_early_t0,0,16,1,0.0
gap_conservative,seed0_early_t0,1,6,16,1500.65625
gap_conservative,seed0_early_t0,2,3,25,523.68
gap_conservative,seed0_early_t0,3,2,71,650.0915492957746
gap_conservative,seed0_early_t0,4,2,101,658.8762376237623
gap_conservative,seed0_early_t0,5,2,194,639.9123711340206
gap_conservative,seed0_early_t0,6,2,259,682.9903474903475
gap_conservative,seed0_early_t0,7,2,485,635.9113402061855
gap_conservative,seed0_middle_t27,0,8,1,926.0
gap_conservative,seed0_middle_t27,1,6,8,429.6875
gap_conservative,seed0_middle_t27,2,3,19,895.2631578947369
gap_conservative,seed0_middle_t27,3,2,43,834.8720930232558
gap_conservative,seed0_middle_t27,4,2,66,1115.530303030303
gap_conservative,seed0_middle_t27,5,2,121,925.4710743801653
gap_conservative,seed0_middle_t27,6,2,190,1358.871052631579
gap_conservative,seed0_middle_t27,7,2,334,1067.8488023952095
gap_conservative,seed0_late_t49,0,8,1,80.0
gap_conservative,seed0_late_t49,1,6,8,465.375
gap_conservative,seed0_late_t49,2,3,19,872.9736842105264
gap_conservative,seed0_late_t49,3,2,56,660.1964285714286
gap_conservative,seed0_late_t49,4,2,92,903.0869565217391
gap_conservative,seed0_late_t49,5,2,167,1002.5179640718563
gap_conservative,seed0_late_t49,6,2,255,1117.2529411764706
gap_conservative,seed0_late_t49,7,2,444,1050.644144144144
gap_conservative,seed0_few_legal_t1,0,8,1,2142.0
gap_conservative,seed0_few_legal_t1,1,6,8,346.0625
gap_conservative,seed0_few_legal_t1,2,3,15,839.3666666666667
gap_conservative,seed0_few_legal_t1,3,2,40,746.15
gap_conservative,seed0_few_legal_t1,4,2,55,808.0545454545454
gap_conservative,seed0_few_legal_t1,5,2,105,668.2095238095238
gap_conservative,seed0_few_legal_t1,6,2,152,762.4769736842105
gap_conservative,seed0_few_legal_t1,7,2,286,754.416083916084
gap_conservative,seed0_early_pruning_t17,0,8,1,766.0
gap_conservative,seed0_early_pruning_t17,1,6,8,440.8125
gap_conservative,seed0_early_pruning_t17,2,3,22,637.9090909090909
gap_conservative,seed0_early_pruning_t17,3,2,60,723.825
gap_conservative,seed0_early_pruning_t17,4,2,95,949.8789473684211
