agent,ply_and_width,use_count
dynamic_beam_alpha_beta,0:1,18
dynamic_beam_alpha_beta,0:10,135
dynamic_beam_alpha_beta,0:11,32
dynamic_beam_alpha_beta,0:12,136
dynamic_beam_alpha_beta,0:2,17
dynamic_beam_alpha_beta,0:3,21
dynamic_beam_alpha_beta,0:4,27
dynamic_beam_alpha_beta,0:5,28
dynamic_beam_alpha_beta,0:6,125
dynamic_beam_alpha_beta,0:7,33
dynamic_beam_alpha_beta,0:8,270
dynamic_beam_alpha_beta,0:9,28
dynamic_beam_pvs,0:1,18
dynamic_beam_pvs,0:10,147
dynamic_beam_pvs,0:11,35
dynamic_beam_pvs,0:12,131
dynamic_beam_pvs,0:2,17
dynamic_beam_pvs,0:3,24
dynamic_beam_pvs,0:4,17
dynamic_beam_pvs,0:5,26
dynamic_beam_pvs,0:6,127
dynamic_beam_pvs,0:7,45
dynamic_beam_pvs,0:8,247
dynamic_beam_pvs,0:9,22
integrated_adaptive_hybrid,0:10,203
integrated_adaptive_hybrid,0:11,22
integrated_adaptive_hybrid,0:12,301
integrated_adaptive_hybrid,0:13,6
integrated_adaptive_hybrid,0:14,3
integrated_adaptive_hybrid,0:15,1
integrated_adaptive_hybrid,0:16,1
integrated_adaptive_hybrid,0:2,22
integrated_adaptive_hybrid,0:3,22
integrated_adaptive_hybrid,0:4,26
integrated_adaptive_hybrid,0:5,25
integrated_adaptive_hybrid,0:6,133
integrated_adaptive_hybrid,0:7,31
integrated_adaptive_hybrid,0:8,426
integrated_adaptive_hybrid,0:9,26
research_adaptive_beam,0:1,28
research_adaptive_beam,0:10,221
research_adaptive_beam,0:11,25
research_adaptive_beam,0:12,290
research_adaptive_beam,0:2,17
research_adaptive_beam,0:3,20
research_adaptive_beam,0:4,20
research_adaptive_beam,0:5,16
research_adaptive_beam,0:6,156
research_adaptive_beam,0:7,35
research_adaptive_beam,0:8,485
research_adaptive_beam,0:9,32
