match_id,turn,agent,result,success,timeout,limit_exceeded,states,reachable_words,reachable_edge_types,reachable_vertices,estimated_states
D10000_seed0_conservative_endgame_exact_hybrid_vs_beam_alpha_beta,93,endgame_exact_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed0_conservative_integrated_adaptive_hybrid_vs_beam_alpha_beta,73,integrated_adaptive_hybrid,loss,1,0,0,1,1,1,2,2
D10000_seed0_balanced_endgame_exact_hybrid_vs_beam_alpha_beta,93,endgame_exact_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed0_balanced_integrated_adaptive_hybrid_vs_beam_alpha_beta,53,integrated_adaptive_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed0_balanced_beam_alpha_beta_vs_integrated_adaptive_hybrid,122,integrated_adaptive_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed0_aggressive_endgame_exact_hybrid_vs_beam_alpha_beta,93,endgame_exact_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed0_aggressive_integrated_adaptive_hybrid_vs_beam_alpha_beta,53,integrated_adaptive_hybrid,loss,1,0,0,1,1,1,2,2
D10000_seed1_conservative_endgame_exact_hybrid_vs_beam_alpha_beta,405,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_conservative_beam_alpha_beta_vs_endgame_exact_hybrid,364,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_conservative_integrated_adaptive_hybrid_vs_beam_alpha_beta,91,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_conservative_beam_alpha_beta_vs_integrated_adaptive_hybrid,86,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_balanced_integrated_adaptive_hybrid_vs_beam_alpha_beta,51,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_balanced_beam_alpha_beta_vs_integrated_adaptive_hybrid,186,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_aggressive_endgame_exact_hybrid_vs_beam_alpha_beta,405,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_aggressive_integrated_adaptive_hybrid_vs_beam_alpha_beta,75,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed1_aggressive_beam_alpha_beta_vs_integrated_adaptive_hybrid,88,integrated_adaptive_hybrid,loss,1,0,0,1,3,1,2,4
D10000_seed2_conservative_endgame_exact_hybrid_vs_beam_alpha_beta,357,endgame_exact_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_conservative_integrated_adaptive_hybrid_vs_beam_alpha_beta,119,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_conservative_beam_alpha_beta_vs_integrated_adaptive_hybrid,92,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_balanced_integrated_adaptive_hybrid_vs_beam_alpha_beta,159,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_balanced_beam_alpha_beta_vs_integrated_adaptive_hybrid,84,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_aggressive_endgame_exact_hybrid_vs_beam_alpha_beta,285,endgame_exact_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_aggressive_beam_alpha_beta_vs_endgame_exact_hybrid,192,endgame_exact_hybrid,loss,1,0,0,1,4,1,2,5
D10000_seed2_aggressive_integrated_adaptive_hybrid_vs_beam_alpha_beta,207,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed2_aggressive_beam_alpha_beta_vs_integrated_adaptive_hybrid,88,integrated_adaptive_hybrid,loss,1,0,0,1,7,1,2,8
D10000_seed3_conservative_beam_alpha_beta_vs_endgame_exact_hybrid,78,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_conservative_integrated_adaptive_hybrid_vs_beam_alpha_beta,97,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_conservative_beam_alpha_beta_vs_integrated_adaptive_hybrid,86,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_balanced_beam_alpha_beta_vs_endgame_exact_hybrid,78,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_balanced_integrated_adaptive_hybrid_vs_beam_alpha_beta,67,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_balanced_beam_alpha_beta_vs_integrated_adaptive_hybrid,74,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_aggressive_beam_alpha_beta_vs_endgame_exact_hybrid,78,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed3_aggressive_beam_alpha_beta_vs_integrated_adaptive_hybrid,72,integrated_adaptive_hybrid,loss,1,0,0,1,3,1,2,4
D10000_seed4_conservative_beam_alpha_beta_vs_endgame_exact_hybrid,78,endgame_exact_hybrid,loss,1,0,0,1,3,1,2,4
D10000_seed4_conservative_beam_alpha_beta_vs_integrated_adaptive_hybrid,196,integrated_adaptive_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed4_balanced_beam_alpha_beta_vs_integrated_adaptive_hybrid,116,integrated_adaptive_hybrid,loss,1,0,0,1,3,1,2,4
D10000_seed4_aggressive_beam_alpha_beta_vs_endgame_exact_hybrid,138,endgame_exact_hybrid,loss,1,0,0,1,5,1,2,6
D10000_seed4_aggressive_integrated_adaptive_hybrid_vs_beam_alpha_beta,93,integrated_adaptive_hybrid,loss,1,0,0,1,3,1,2,4
D10000_seed4_aggressive_beam_alpha_beta_vs_integrated_adaptive_hybrid,78,integrated_adaptive_hybrid,loss,1,0,0,1,3,1,2,4
