profile,agent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,first_win_rate,second_win_rate,decision_count,mean_decision_time_sec,max_decision_time_sec,timeout_count,mean_nodes,mean_effective_depth,depth_change_count,mode_switch_count,fallback_count,exact_attempt_count,exact_success_count,exact_timeout_count,exact_limit_count,null_window_search_count,research_count,beam_pruned_move_count
conservative,branch_switch_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.4,0.0,421,0.3550116555819477,1.003794,72,3494.8503562945366,7.406175771971497,182,0,0,0,0,0,0,0,0,7593421
conservative,dynamic_beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.4,0.2,291,0.41979900687285227,1.000133,42,3826.274914089347,5.453608247422681,130,0,0,0,0,0,0,0,0,15552
conservative,dynamic_beam_pvs,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,0.4,0.6,299,0.4188104280936455,1.000409,54,4029.170568561873,5.535117056856187,148,0,0,0,0,0,0,838544,2341,16398
conservative,research_adaptive_beam,10,1,9,0,0.1,0.017876213095072896,0.4041500267952385,0.2,0.0,556,0.4156840215827338,1.007203,66,3136.428057553957,5.251798561151079,260,0,0,0,0,0,0,1133225,4491,8442
conservative,endgame_exact_hybrid,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.4,0.4,988,0.25542944736842105,1.000162,1,2203.178137651822,8.293522267206479,106,0,0,6,6,0,0,0,0,25618782
conservative,integrated_adaptive_hybrid,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.2,0.2,504,0.41640766865079365,1.000855,54,2579.748015873016,4.765873015873016,246,0,0,8,8,0,0,694508,2713,6929
balanced,branch_switch_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.2,0.2,624,0.3591170096153846,1.002986,86,2558.076923076923,7.517628205128205,211,0,0,0,0,0,0,0,0,12329612
balanced,dynamic_beam_alpha_beta,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,0.6,0.4,277,0.42204373285198554,1.00044,42,3176.956678700361,5.332129963898917,136,0,0,0,0,0,0,0,0,15733
balanced,dynamic_beam_pvs,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.4,0.4,267,0.40888614606741575,1.001743,49,3278.2846441947568,5.299625468164794,140,0,0,0,0,0,0,621054,1865,15247
balanced,research_adaptive_beam,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.2,0.4,469,0.40886935607675906,1.000487,58,2210.8464818763327,4.99360341151386,225,0,0,0,0,0,0,667479,2911,7363
balanced,endgame_exact_hybrid,10,8,2,0,0.8,0.49016247153664183,0.9433178485456247,0.8,0.8,1224,0.29731810620915033,1.001055,4,2650.3161764705883,8.133169934640524,164,0,0,2,2,0,0,0,0,36613844
balanced,integrated_adaptive_hybrid,10,1,9,0,0.1,0.017876213095072896,0.4041500267952385,0.2,0.0,500,0.422470782,1.44651,59,2333.38,4.746,228,0,0,9,9,0,0,633847,2912,6982
aggressive,branch_switch_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.6,0.2,459,0.33338231154684095,1.000594,48,2670.7385620915034,8.045751633986928,119,0,0,0,0,0,0,0,0,9704347
aggressive,dynamic_beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.4,0.4,302,0.4166221390728477,1.000264,48,3310.019867549669,5.274834437086093,153,0,0,0,0,0,0,0,0,15569
aggressive,dynamic_beam_pvs,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.2,0.4,290,0.40150033793103446,1.000497,48,3209.1275862068965,5.2620689655172415,147,0,0,0,0,0,0,657711,1961,15717
aggressive,research_adaptive_beam,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.4,0.2,495,0.4200666888888889,1.000476,59,2140.3939393939395,4.824242424242424,243,0,0,0,0,0,0,723924,2910,7917
aggressive,endgame_exact_hybrid,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.4,0.4,911,0.23354239517014272,1.00014,2,2458.860592755214,8.553238199780461,52,0,0,6,6,0,0,0,0,25395178
aggressive,integrated_adaptive_hybrid,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.2,0.2,462,0.4281428701298701,1.000112,82,2294.1363636363635,5.088744588744588,246,0,0,8,8,0,0,661744,2592,6280
