profile,agent,reference_agent,games,wins,reference_wins,draws,decisive_win_rate,ci95_low,ci95_high,two_sided_binomial_p
conservative,branch_switch_alpha_beta,beam_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.109375
conservative,dynamic_beam_alpha_beta,beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.34375
conservative,dynamic_beam_pvs,beam_alpha_beta,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,1.0
conservative,endgame_exact_hybrid,beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.75390625
conservative,integrated_adaptive_hybrid,beam_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.109375
conservative,research_adaptive_beam,beam_alpha_beta,10,1,9,0,0.1,0.017876213095072896,0.4041500267952385,0.021484375
balanced,branch_switch_alpha_beta,beam_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.109375
balanced,dynamic_beam_alpha_beta,beam_alpha_beta,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,1.0
balanced,dynamic_beam_pvs,beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.75390625
balanced,endgame_exact_hybrid,beam_alpha_beta,10,8,2,0,0.8,0.49016247153664183,0.9433178485456247,0.109375
balanced,integrated_adaptive_hybrid,beam_alpha_beta,10,1,9,0,0.1,0.017876213095072896,0.4041500267952385,0.021484375
balanced,research_adaptive_beam,beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.34375
aggressive,branch_switch_alpha_beta,beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.75390625
aggressive,dynamic_beam_alpha_beta,beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.75390625
aggressive,dynamic_beam_pvs,beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.34375
aggressive,endgame_exact_hybrid,beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.75390625
aggressive,integrated_adaptive_hybrid,beam_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.109375
aggressive,research_adaptive_beam,beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.34375
