commit_id,dict_size,dictionary_file_sha256,dictionary_hash,dictionary_seed,experiment_config_hash,first_agent,first_avg_time_sec,first_beam_pruned_move_count,first_candidate_evaluations,first_config_id,first_cutoff_count,first_depth_change_count,first_graph_ordering_calls,first_graph_ordering_changed_first_count,first_graph_ordering_evaluations,first_graph_ordering_time_sec,first_leaf_evaluations,first_max_time_sec,first_mean_effective_depth,first_median_time_sec,first_nodes_searched,first_null_window_search_count,first_p95_time_sec,first_research_count,first_timeout_count,first_total_time_sec,invalid_move_count,loss_reason,match_elapsed_time_sec,match_id,match_seed,max_match_time_sec,max_moves,profile_name,repetition,runtime,second_agent,second_avg_time_sec,second_beam_pruned_move_count,second_candidate_evaluations,second_config_id,second_cutoff_count,second_depth_change_count,second_graph_ordering_calls,second_graph_ordering_changed_first_count,second_graph_ordering_evaluations,second_graph_ordering_time_sec,second_leaf_evaluations,second_max_time_sec,second_mean_effective_depth,second_median_time_sec,second_nodes_searched,second_null_window_search_count,second_p95_time_sec,second_research_count,second_timeout_count,second_total_time_sec,source_fingerprint,stage,turn_count,used_word_count,winner
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,branch_switch_alpha_beta,0.28591130604839016,207827.0,866356.0,conservative:branch_switch_alpha_beta,20072.0,13,0.0,0.0,0.0,0.0,56675.0,1.0000394999515265,6.896551724137931,0.088211,86628.0,0.0,1.000035,0.0,6,8.291427875403315,0,ended_with_n,12.740844000130892,D10000_seed0_conservative_branch_switch_alpha_beta_vs_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.15267850144702041,715424.0,792415.0,conservative:beam_alpha_beta,18593.0,1,0.0,0.0,0.0,0.0,22373.0,0.30851058405824006,8.931034482758621,0.174235,59398.0,0.0,0.28334,0.0,0,4.427676541963592,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,58,58,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,beam_alpha_beta,0.21856682472981703,1358113.0,1501895.0,conservative:beam_alpha_beta,35383.0,1,0.0,0.0,0.0,0.0,40266.0,0.5167976671364158,8.948717948717949,0.188247,109878.0,0.0,0.497733,0.0,0,8.524106164462864,0,ended_with_n,22.247366917086765,D10000_seed0_conservative_beam_alpha_beta_vs_branch_switch_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,branch_switch_alpha_beta,0.3511940780907678,295507.0,1219787.0,conservative:branch_switch_alpha_beta,27450.0,20,0.0,0.0,0.0,0.0,87032.0,1.0001125829294324,6.589743589743589,0.144485,130471.0,0.0,1.000048,0.0,8,13.696569045539945,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,78,78,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,dynamic_beam_alpha_beta,0.44755092830846793,2916.0,1149645.0,conservative:dynamic_beam_alpha_beta,26763.0,13,0.0,0.0,0.0,0.0,93146.0,1.0000495840795338,5.482758620689655,0.386289,128758.0,0.0,1.000026,0.0,4,12.97897692094557,0,ended_with_n,17.882843666011468,D10000_seed0_conservative_dynamic_beam_alpha_beta_vs_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.16837732607081277,740336.0,829167.0,conservative:beam_alpha_beta,21108.0,1,0.0,0.0,0.0,0.0,26987.0,0.38235120801255107,8.931034482758621,0.175044,69910.0,0.0,0.361374,0.0,0,4.88294245605357,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,58,58,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,beam_alpha_beta,0.24682904707057582,1182715.0,1301363.0,conservative:beam_alpha_beta,29645.0,1,0.0,0.0,0.0,0.0,33525.0,0.5419707919936627,8.935483870967742,0.252086,91143.0,0.0,0.520477,0.0,0,7.65170045918785,0,ended_with_n,20.29656779184006,D10000_seed0_conservative_beam_alpha_beta_vs_dynamic_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,dynamic_beam_alpha_beta,0.4071805941526808,500.0,813381.0,conservative:dynamic_beam_alpha_beta,18595.0,10,0.0,0.0,0.0,0.0,95960.0,1.0000354170333594,5.354838709677419,0.374881,124293.0,0.0,1.000027,0.0,4,12.622598418733105,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,62,62,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,dynamic_beam_pvs,0.3991485344081679,3045.0,1235659.0,conservative:dynamic_beam_pvs,30066.0,9,0.0,0.0,0.0,0.0,99754.0,1.0000470420345664,5.382352941176471,0.3933375,139339.0,99642.0,1.000029,325.0,3,13.571050169877708,0,ended_with_n,19.725127291167155,D10000_seed0_conservative_dynamic_beam_pvs_vs_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.1802297082647462,959560.0,1070120.0,conservative:beam_alpha_beta,26878.0,3,0.0,0.0,0.0,0.0,32931.0,0.6173202081117779,8.882352941176471,0.1649535,86471.0,0.0,0.375911,0.0,0,6.127810081001371,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,68,68,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,beam_alpha_beta,0.2178460705221038,1139554.0,1255106.0,conservative:beam_alpha_beta,29010.0,1,0.0,0.0,0.0,0.0,32713.0,0.5437098748516291,8.93939393939394,0.18474,88804.0,0.0,0.528927,0.0,0,7.188920327229425,0,ended_with_n,19.896982833975926,D10000_seed0_conservative_beam_alpha_beta_vs_dynamic_beam_pvs,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,dynamic_beam_pvs,0.39638614567229524,657.0,1013333.0,conservative:dynamic_beam_pvs,24181.0,15,0.0,0.0,0.0,0.0,86339.0,1.0000414999667555,5.21875,0.3542145,119503.0,86166.0,1.000033,214.0,4,12.684356661513448,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,65,65,second
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,research_adaptive_beam,0.37184640431466204,355.0,473258.0,conservative:research_adaptive_beam,12321.0,15,0.0,0.0,0.0,0.0,47651.0,1.0000940000172704,5.111111111111111,0.203472,63607.0,45532.0,1.000028,221.0,4,10.039852916495875,0,ended_with_n,15.836542167002335,D10000_seed0_conservative_research_adaptive_beam_vs_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.2228352980276283,822224.0,928981.0,conservative:beam_alpha_beta,26814.0,1,0.0,0.0,0.0,0.0,33244.0,0.5103544578887522,8.923076923076923,0.22864400000000001,85175.0,0.0,0.445604,0.0,0,5.793717748718336,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,53,53,second
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,beam_alpha_beta,0.27654720377177,1840660.0,2052647.0,conservative:beam_alpha_beta,54524.0,5,0.0,0.0,0.0,0.0,65516.0,0.651911708060652,8.826086956521738,0.2493645,168492.0,0.0,0.53709,0.0,0,12.72117137350142,0,ended_with_n,32.615549667039886,D10000_seed0_conservative_beam_alpha_beta_vs_research_adaptive_beam,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,research_adaptive_beam,0.43237542578667076,560.0,837222.0,conservative:research_adaptive_beam,20777.0,25,0.0,0.0,0.0,0.0,72157.0,1.0000325001310557,5.239130434782608,0.3172115,99911.0,66160.0,1.000018,215.0,9,19.889269586186856,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,92,92,first
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,endgame_exact_hybrid,0.2450406790483109,1544869.0,1720179.0,conservative:endgame_exact_hybrid,41954.0,3,0.0,0.0,0.0,0.0,53160.0,0.7062321249395609,8.72340425531915,0.267669,138022.0,0.0,0.440296,0.0,0,11.516911915270612,0,ended_with_n,23.839664709055796,D10000_seed0_conservative_endgame_exact_hybrid_vs_beam_alpha_beta,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.26714206711166416,1611595.0,1796350.0,conservative:beam_alpha_beta,44021.0,3,0.0,0.0,0.0,0.0,56229.0,1.000033542048186,8.891304347826088,0.285567,145652.0,0.0,0.42487,0.0,1,12.288535087136552,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,93,93,second
d7ab76ddfa00239c45957f8a2264fcc8f4efe898,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,2f01dfdf19b0f16158714660cf781185c79c4f9500d946201995b5169342095f,beam_alpha_beta,0.23649586785208196,1544869.0,1720180.0,conservative:beam_alpha_beta,41954.0,3,0.0,0.0,0.0,0.0,53160.0,0.6461247080005705,8.914893617021276,0.257932,138021.0,0.0,0.438723,0.0,0,11.115305789047852,0,ended_with_n,22.96155441692099,D10000_seed0_conservative_beam_alpha_beta_vs_endgame_exact_hybrid,0,300.0,1000,conservative,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,endgame_exact_hybrid,0.25681177189107984,1618417.0,1803920.0,conservative:endgame_exact_hybrid,44223.0,3,0.0,0.0,0.0,0.0,56436.0,0.9592626250814646,8.891304347826088,0.27169299999999996,146228.0,0.0,0.397319,0.0,0,11.813341506989673,0e2a353cf636b87b9d894c0bc8c6c36eabfe34874873788f671c13af60a9a07d,tune,93,93,second
