agent,ply,candidate_count,selected_count,pruned_count,ordering_calls
beam_alpha_beta,0,456156,129719,326437,11558
beam_alpha_beta,1,3748550,1012993,2735557,127860
beam_alpha_beta,2,9429028,1666798,7762230,430402
beam_alpha_beta,3,27406353,2401711,25004642,1211201
beam_alpha_beta,4,28322053,3461974,24860079,1762125
beam_alpha_beta,5,58445735,5667275,52778460,2870112
beam_alpha_beta,6,72924358,8091352,64833006,4114091
beam_alpha_beta,7,132152564,12640029,119512535,6401948
beam_alpha_beta,8,156229546,15935859,140293687,8081627
beam_pvs,0,37997,11641,26356,1032
beam_pvs,1,370589,103150,267439,12943
beam_pvs,2,1318101,223218,1094883,56886
beam_pvs,3,2708331,272472,2435859,136390
beam_pvs,4,3409944,406458,3003486,204440
beam_pvs,5,5602744,605854,4996890,305925
beam_pvs,6,7418806,867177,6551629,438785
beam_pvs,7,12167744,1310021,10857723,659564
beam_pvs,8,15666653,1721481,13945172,866614
dynamic_beam_alpha_beta,0,58699,13979,44720,1472
dynamic_beam_alpha_beta,1,411877,107830,304047,13632
dynamic_beam_alpha_beta,2,1047296,186715,860581,46818
dynamic_beam_alpha_beta,3,3108709,286067,2822642,129504
dynamic_beam_alpha_beta,4,3925278,514242,3411036,205148
dynamic_beam_alpha_beta,5,10296082,967995,9328087,402987
dynamic_beam_alpha_beta,6,12960420,1643955,11316465,607875
dynamic_beam_alpha_beta,7,22373156,2057890,20315266,875122
dynamic_beam_alpha_beta,8,13395153,1477418,11917735,643261
dynamic_beam_pvs,0,54405,12737,41668,1343
dynamic_beam_pvs,1,419643,108021,311622,13711
dynamic_beam_pvs,2,1243281,216398,1026883,53924
dynamic_beam_pvs,3,2847851,286121,2561730,127740
dynamic_beam_pvs,4,4164296,502162,3662134,207145
dynamic_beam_pvs,5,8520533,843332,7677201,357982
dynamic_beam_pvs,6,12411840,1436277,10975563,561020
dynamic_beam_pvs,7,18077095,1762577,16314518,751296
dynamic_beam_pvs,8,13340357,1424270,11916087,631960
dynamic_proof_extension_beam_alpha_beta,0,66688,16027,50661,1678
dynamic_proof_extension_beam_alpha_beta,1,457510,123673,333837,15688
dynamic_proof_extension_beam_alpha_beta,2,1258832,222531,1036301,55681
dynamic_proof_extension_beam_alpha_beta,3,3546177,343934,3202243,155219
dynamic_proof_extension_beam_alpha_beta,4,4377854,599728,3778126,244041
dynamic_proof_extension_beam_alpha_beta,5,10317625,1007395,9310230,424088
dynamic_proof_extension_beam_alpha_beta,6,8172096,945366,7226730,390212
dynamic_proof_extension_beam_alpha_beta,7,7354842,709541,6645301,329483
dynamic_proof_extension_beam_alpha_beta,8,4368503,453422,3915081,226842
endgame_exact_hybrid,0,77484,23810,53674,2099
endgame_exact_hybrid,1,681282,186873,494409,23489
endgame_exact_hybrid,2,1847230,325014,1522216,83334
endgame_exact_hybrid,3,5288334,469518,4818816,235402
endgame_exact_hybrid,4,5493493,681745,4811748,344075
endgame_exact_hybrid,5,11126912,1116068,10010844,562268
endgame_exact_hybrid,6,13365228,1589257,11775971,804654
endgame_exact_hybrid,7,25551058,2605949,22945109,1310285
endgame_exact_hybrid,8,33942198,3682262,30259936,1849353
proof_extension_beam_alpha_beta,0,78216,23878,54338,2120
proof_extension_beam_alpha_beta,1,677963,184440,493523,23523
proof_extension_beam_alpha_beta,2,1761491,313702,1447789,81966
proof_extension_beam_alpha_beta,3,4903075,451223,4451852,228982
proof_extension_beam_alpha_beta,4,5156914,651868,4505046,336135
proof_extension_beam_alpha_beta,5,10341391,1025378,9316013,528657
proof_extension_beam_alpha_beta,6,12183090,1376374,10806716,710388
proof_extension_beam_alpha_beta,7,15685249,1492524,14192725,776842
proof_extension_beam_alpha_beta,8,7409125,782138,6626987,423285
research_adaptive_beam,0,117978,27308,90670,3008
research_adaptive_beam,1,856826,227269,629557,28887
research_adaptive_beam,2,2497962,436973,2060989,108761
research_adaptive_beam,3,5865701,589630,5276071,263144
research_adaptive_beam,4,8283788,1010993,7272795,422054
research_adaptive_beam,5,16580264,1664986,14915278,707461
research_adaptive_beam,6,18981792,2229487,16752305,905554
research_adaptive_beam,7,16876839,1632846,15243993,709330
research_adaptive_beam,8,4853531,504760,4348771,235401
