agent,ply_and_width,use_count
dynamic_beam_alpha_beta,0:1,15
dynamic_beam_alpha_beta,0:10,258
dynamic_beam_alpha_beta,0:11,23
dynamic_beam_alpha_beta,0:12,560
dynamic_beam_alpha_beta,0:2,15
dynamic_beam_alpha_beta,0:3,16
dynamic_beam_alpha_beta,0:4,29
dynamic_beam_alpha_beta,0:5,31
dynamic_beam_alpha_beta,0:6,65
dynamic_beam_alpha_beta,0:7,39
dynamic_beam_alpha_beta,0:8,390
dynamic_beam_alpha_beta,0:9,31
dynamic_beam_alpha_beta,1:1,5
dynamic_beam_alpha_beta,1:2,14
dynamic_beam_alpha_beta,1:3,9
dynamic_beam_alpha_beta,1:4,12
dynamic_beam_alpha_beta,1:5,27
dynamic_beam_alpha_beta,1:6,422
dynamic_beam_alpha_beta,1:7,89
dynamic_beam_alpha_beta,1:8,13054
dynamic_beam_alpha_beta,2:1,1439
dynamic_beam_alpha_beta,2:2,894
dynamic_beam_alpha_beta,2:3,202
dynamic_beam_alpha_beta,2:4,41890
dynamic_beam_alpha_beta,2:5,604
dynamic_beam_alpha_beta,2:6,766
dynamic_beam_alpha_beta,2:7,478
dynamic_beam_alpha_beta,2:8,545
dynamic_beam_alpha_beta,3:1,2598
dynamic_beam_alpha_beta,3:2,120007
dynamic_beam_alpha_beta,3:3,255
dynamic_beam_alpha_beta,3:4,693
dynamic_beam_alpha_beta,3:5,1044
dynamic_beam_alpha_beta,3:6,1767
dynamic_beam_alpha_beta,3:7,1024
dynamic_beam_alpha_beta,3:8,2116
dynamic_beam_alpha_beta,4:1,5951
dynamic_beam_alpha_beta,4:2,172668
dynamic_beam_alpha_beta,4:3,1107
dynamic_beam_alpha_beta,4:4,3091
dynamic_beam_alpha_beta,4:5,4780
dynamic_beam_alpha_beta,4:6,6326
dynamic_beam_alpha_beta,4:7,4386
dynamic_beam_alpha_beta,4:8,6839
dynamic_beam_alpha_beta,5:1,7264
dynamic_beam_alpha_beta,5:2,356049
dynamic_beam_alpha_beta,5:3,1486
dynamic_beam_alpha_beta,5:4,3822
dynamic_beam_alpha_beta,5:5,6399
dynamic_beam_alpha_beta,5:6,8738
dynamic_beam_alpha_beta,5:7,9368
dynamic_beam_alpha_beta,5:8,9861
dynamic_beam_alpha_beta,6:1,16255
dynamic_beam_alpha_beta,6:2,478777
dynamic_beam_alpha_beta,6:3,6994
dynamic_beam_alpha_beta,6:4,15202
dynamic_beam_alpha_beta,6:5,21366
dynamic_beam_alpha_beta,6:6,24877
dynamic_beam_alpha_beta,6:7,22968
dynamic_beam_alpha_beta,6:8,21436
dynamic_beam_alpha_beta,7:1,24959
dynamic_beam_alpha_beta,7:2,763674
dynamic_beam_alpha_beta,7:3,6839
dynamic_beam_alpha_beta,7:4,11973
dynamic_beam_alpha_beta,7:5,15977
dynamic_beam_alpha_beta,7:6,20965
dynamic_beam_alpha_beta,7:7,14381
dynamic_beam_alpha_beta,7:8,16354
dynamic_beam_alpha_beta,8:1,30657
dynamic_beam_alpha_beta,8:2,547621
dynamic_beam_alpha_beta,8:3,6595
dynamic_beam_alpha_beta,8:4,12774
dynamic_beam_alpha_beta,8:5,14665
dynamic_beam_alpha_beta,8:6,17233
dynamic_beam_alpha_beta,8:7,5813
dynamic_beam_alpha_beta,8:8,7903
dynamic_beam_pvs,0:1,14
dynamic_beam_pvs,0:10,202
dynamic_beam_pvs,0:11,42
dynamic_beam_pvs,0:12,512
dynamic_beam_pvs,0:2,14
dynamic_beam_pvs,0:3,18
dynamic_beam_pvs,0:4,26
dynamic_beam_pvs,0:5,24
dynamic_beam_pvs,0:6,61
dynamic_beam_pvs,0:7,46
dynamic_beam_pvs,0:8,353
dynamic_beam_pvs,0:9,31
dynamic_beam_pvs,1:1,6
dynamic_beam_pvs,1:2,12
dynamic_beam_pvs,1:3,16
dynamic_beam_pvs,1:4,42
dynamic_beam_pvs,1:5,49
dynamic_beam_pvs,1:6,500
dynamic_beam_pvs,1:7,158
dynamic_beam_pvs,1:8,12928
dynamic_beam_pvs,2:1,1880
dynamic_beam_pvs,2:2,161
dynamic_beam_pvs,2:3,202
dynamic_beam_pvs,2:4,48709
dynamic_beam_pvs,2:5,638
dynamic_beam_pvs,2:6,1048
dynamic_beam_pvs,2:7,1012
dynamic_beam_pvs,2:8,274
dynamic_beam_pvs,3:1,4586
dynamic_beam_pvs,3:2,114043
dynamic_beam_pvs,3:3,409
dynamic_beam_pvs,3:4,1205
dynamic_beam_pvs,3:5,1495
dynamic_beam_pvs,3:6,2765
dynamic_beam_pvs,3:7,2559
dynamic_beam_pvs,3:8,678
dynamic_beam_pvs,4:1,8005
dynamic_beam_pvs,4:2,174198
dynamic_beam_pvs,4:3,1193
dynamic_beam_pvs,4:4,3188
dynamic_beam_pvs,4:5,4427
dynamic_beam_pvs,4:6,8037
dynamic_beam_pvs,4:7,5703
dynamic_beam_pvs,4:8,2394
dynamic_beam_pvs,5:1,12587
dynamic_beam_pvs,5:2,307599
dynamic_beam_pvs,5:3,2056
dynamic_beam_pvs,5:4,5846
dynamic_beam_pvs,5:5,6881
dynamic_beam_pvs,5:6,12843
dynamic_beam_pvs,5:7,6828
dynamic_beam_pvs,5:8,3342
dynamic_beam_pvs,6:1,19637
dynamic_beam_pvs,6:2,449795
dynamic_beam_pvs,6:3,6011
dynamic_beam_pvs,6:4,13590
dynamic_beam_pvs,6:5,19382
dynamic_beam_pvs,6:6,29307
dynamic_beam_pvs,6:7,14479
dynamic_beam_pvs,6:8,8819
dynamic_beam_pvs,7:1,31869
dynamic_beam_pvs,7:2,637874
dynamic_beam_pvs,7:3,7269
dynamic_beam_pvs,7:4,11477
dynamic_beam_pvs,7:5,18600
dynamic_beam_pvs,7:6,23828
dynamic_beam_pvs,7:7,11755
dynamic_beam_pvs,7:8,8624
dynamic_beam_pvs,8:1,40243
dynamic_beam_pvs,8:2,534398
dynamic_beam_pvs,8:3,6407
dynamic_beam_pvs,8:4,8111
dynamic_beam_pvs,8:5,11767
dynamic_beam_pvs,8:6,18482
dynamic_beam_pvs,8:7,6577
dynamic_beam_pvs,8:8,5975
dynamic_proof_extension_beam_alpha_beta,0:1,11
dynamic_proof_extension_beam_alpha_beta,0:10,296
dynamic_proof_extension_beam_alpha_beta,0:11,30
dynamic_proof_extension_beam_alpha_beta,0:12,615
dynamic_proof_extension_beam_alpha_beta,0:2,11
dynamic_proof_extension_beam_alpha_beta,0:3,12
dynamic_proof_extension_beam_alpha_beta,0:4,16
dynamic_proof_extension_beam_alpha_beta,0:5,24
dynamic_proof_extension_beam_alpha_beta,0:6,97
dynamic_proof_extension_beam_alpha_beta,0:7,37
dynamic_proof_extension_beam_alpha_beta,0:8,498
dynamic_proof_extension_beam_alpha_beta,0:9,31
dynamic_proof_extension_beam_alpha_beta,1:1,10
dynamic_proof_extension_beam_alpha_beta,1:2,27
dynamic_proof_extension_beam_alpha_beta,1:3,40
dynamic_proof_extension_beam_alpha_beta,1:4,47
dynamic_proof_extension_beam_alpha_beta,1:5,58
dynamic_proof_extension_beam_alpha_beta,1:6,437
dynamic_proof_extension_beam_alpha_beta,1:7,163
dynamic_proof_extension_beam_alpha_beta,1:8,14906
dynamic_proof_extension_beam_alpha_beta,2:1,1848
dynamic_proof_extension_beam_alpha_beta,2:2,641
dynamic_proof_extension_beam_alpha_beta,2:3,342
dynamic_proof_extension_beam_alpha_beta,2:4,49940
dynamic_proof_extension_beam_alpha_beta,2:5,718
dynamic_proof_extension_beam_alpha_beta,2:6,809
dynamic_proof_extension_beam_alpha_beta,2:7,893
dynamic_proof_extension_beam_alpha_beta,2:8,490
dynamic_proof_extension_beam_alpha_beta,3:1,3303
dynamic_proof_extension_beam_alpha_beta,3:2,142280
dynamic_proof_extension_beam_alpha_beta,3:3,662
dynamic_proof_extension_beam_alpha_beta,3:4,1273
dynamic_proof_extension_beam_alpha_beta,3:5,1907
dynamic_proof_extension_beam_alpha_beta,3:6,2243
