agent,search_mode,decision_count,mean_legal_edge_types,mean_legal_word_count,mean_safe_word_count,mean_reachable_word_count,mean_decision_time_sec,mean_nodes,research_rate
alpha_beta,unreported,549,0.0,0.0,0.0,0.0,0.3379851511839708,4254.001821493624,0.0
beam_alpha_beta,unreported,11558,0.0,0.0,0.0,0.0,0.22182857553209898,3385.6611870565844,0.0
beam_pvs,unreported,1032,0.0,0.0,0.0,0.0,0.22611315310077518,3985.0901162790697,0.023264683978646547
dynamic_beam_alpha_beta,dynamic_beam_alpha_beta,1472,39.87703804347826,148.9116847826087,127.15964673913044,9729.515625,0.2788097880434783,3568.6134510869565,0.0
dynamic_beam_pvs,dynamic_beam_pvs,1343,40.51005212211467,153.0573343261355,130.28518242740134,9726.802680565897,0.2566408883097543,3402.048399106478,0.017617788276375588
dynamic_proof_extension_beam_alpha_beta,proof_extension_beam_alpha_beta,1678,0.0,0.0,0.0,0.0,0.3160138134684148,1825.119189511323,0.0
endgame_exact_hybrid,beam_alpha_beta,2099,36.914721295855166,141.4516436398285,120.46593616007623,9762.666031443545,0.23844967222486899,3969.737494044783,0.0
endgame_exact_hybrid,exact_endgame,9,1.0,4.555555555555555,0.0,4.555555555555555,0.0011071111111111112,1.0,0.0
proof_extension_beam_alpha_beta,exact_endgame,1,2.0,2.0,1.0,2.0,0.000949,2.0,0.0
proof_extension_beam_alpha_beta,proof_extension_beam_alpha_beta,2120,0.0,0.0,0.0,0.0,0.32096944386792453,2170.1971698113207,0.0
research_adaptive_beam,beam_alpha_beta,532,28.622180451127818,103.46428571428571,87.90037593984962,9586.63909774436,0.3085851710526316,4020.308270676692,0.03483877780906787
research_adaptive_beam,beam_pvs,741,51.663967611336034,195.6288798920378,167.34952766531714,9848.76383265857,0.3776029541160594,4859.587044534413,0.019503267074946342
