profile,agent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,first_win_rate,second_win_rate,decision_count,mean_decision_time_sec,max_decision_time_sec,timeout_count,mean_nodes,mean_effective_depth,depth_change_count,mode_switch_count,fallback_count,exact_attempt_count,exact_success_count,exact_timeout_count,exact_limit_count,null_window_search_count,research_count,beam_pruned_move_count
conservative,branch_switch_alpha_beta,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
conservative,dynamic_beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.4,0.2,798,0.32801822431077693,1.000035,24,4196.795739348371,8.12781954887218,168,0,0,0,0,0,0,0,0,37604078
conservative,dynamic_beam_pvs,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.6,0.2,732,0.27356363387978144,1.000058,7,3678.691256830601,8.353825136612022,140,0,0,0,0,0,0,1187546,19634,31582835
conservative,research_adaptive_beam,10,6,4,0,0.6,0.31267376973365824,0.8318196702937638,0.6,0.6,532,0.356242265037594,1.000027,8,4203.210526315789,7.7180451127819545,152,136,8,0,0,0,0,704004,11688,26640330
conservative,endgame_exact_hybrid,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,0.6,0.4,1035,0.22778215265700483,1.126561,3,3836.7458937198066,8.921739130434782,22,0,0,5,5,0,0,0,0,41197994
conservative,proof_extension_beam_alpha_beta,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,0.6,0.4,1200,0.32980644333333337,0.999409,2,2391.3758333333335,8.330833333333333,152,0,0,53978,50685,0,0,0,0,31203550
conservative,dynamic_proof_extension_beam_alpha_beta,10,5,5,0,0.5,0.236593090512564,0.7634069094874361,0.6,0.4,819,0.31816419413919417,1.000019,18,1883.3272283272283,7.553113553113553,172,0,0,0,0,0,0,0,0,18534450
conservative,integrated_adaptive_hybrid,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
balanced,branch_switch_alpha_beta,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
balanced,dynamic_beam_alpha_beta,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.2,0.2,674,0.22054816765578633,1.000027,2,2824.860534124629,8.765578635014837,76,0,0,0,0,0,0,0,0,22716501
balanced,dynamic_beam_pvs,10,2,8,0,0.2,0.05668215145437519,0.5098375284633583,0.4,0.0,611,0.23636682978723403,1.000029,5,3070.620294599018,8.67430441898527,94,0,0,0,0,0,0,759804,14674,22904571
balanced,research_adaptive_beam,10,1,9,0,0.1,0.017876213095072896,0.4041500267952385,0.2,0.0,741,0.34338760458839407,1.000023,9,4728.272604588394,8.275303643724696,190,205,9,0,0,0,0,1092438,27705,39950099
balanced,endgame_exact_hybrid,10,6,4,0,0.6,0.31267376973365824,0.8318196702937638,0.6,0.6,1073,0.24674864678471575,0.96332,0,4064.730661696179,8.92264678471575,36,0,0,4,4,0,0,0,0,45494729
balanced,proof_extension_beam_alpha_beta,10,3,7,0,0.3,0.10779126740630099,0.6032218525388546,0.6,0.0,921,0.3091079674267101,1.016709,1,1879.6623235613463,8.211726384364821,148,0,0,16,1,0,0,0,0,20691439
balanced,dynamic_proof_extension_beam_alpha_beta,10,4,6,0,0.4,0.16818032970623614,0.6873262302663417,0.4,0.4,859,0.31396356693830035,0.999959,6,1769.6216530849824,7.629802095459837,202,0,0,0,0,0,0,0,0,16964060
balanced,integrated_adaptive_hybrid,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
