commit_id,dict_size,dictionary_file_sha256,dictionary_hash,dictionary_seed,experiment_config_hash,first_agent,first_avg_time_sec,first_beam_pruned_move_count,first_candidate_evaluations,first_config_id,first_cutoff_count,first_depth_change_count,first_graph_ordering_calls,first_graph_ordering_changed_first_count,first_graph_ordering_evaluations,first_graph_ordering_time_sec,first_leaf_evaluations,first_max_time_sec,first_mean_effective_depth,first_median_time_sec,first_nodes_searched,first_null_window_search_count,first_p95_time_sec,first_research_count,first_timeout_count,first_total_time_sec,invalid_move_count,loss_reason,match_elapsed_time_sec,match_id,match_seed,max_match_time_sec,max_moves,profile_name,repetition,runtime,second_agent,second_avg_time_sec,second_beam_pruned_move_count,second_candidate_evaluations,second_config_id,second_cutoff_count,second_depth_change_count,second_graph_ordering_calls,second_graph_ordering_changed_first_count,second_graph_ordering_evaluations,second_graph_ordering_time_sec,second_leaf_evaluations,second_max_time_sec,second_mean_effective_depth,second_median_time_sec,second_nodes_searched,second_null_window_search_count,second_p95_time_sec,second_research_count,second_timeout_count,second_total_time_sec,source_fingerprint,stage,turn_count,used_word_count,winner
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,alpha_beta,0.2910555863054469,0.0,805952.0,balanced:alpha_beta,20327.0,12,0.0,0.0,0.0,0.0,59571.0,0.9724779999814928,6.25,0.194141,89265.0,0.0,0.782469,0.0,0,8.149556416552514,0,ended_with_n,12.254806791897863,D10000_seed0_balanced_alpha_beta_vs_beam_alpha_beta,0,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.15196818832515013,633850.0,703928.0,balanced:beam_alpha_beta,17508.0,1,0.0,0.0,0.0,0.0,17920.0,0.3577390839345753,8.925925925925926,0.127608,52044.0,0.0,0.325453,0.0,0,4.103141084779054,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,55,55,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.17967071755283318,2593947.0,2916941.0,balanced:beam_alpha_beta,79609.0,1,0.0,0.0,0.0,0.0,94587.0,0.4680212920065969,8.975308641975309,0.176986,252157.0,0.0,0.388606,0.0,0,14.553328121779487,0,ended_with_n,42.7390099579934,D10000_seed0_balanced_beam_alpha_beta_vs_alpha_beta,0,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,alpha_beta,0.3479018055598171,0.0,3104111.0,balanced:alpha_beta,82753.0,26,0.0,0.0,0.0,0.0,238820.0,1.0000337089877576,5.962962962962963,0.308598,354669.0,0.0,0.815225,0.0,3,28.180046250345185,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,162,162,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_pvs,0.25532357750460505,1874770.0,2087302.0,balanced:beam_pvs,59201.0,5,0.0,0.0,0.0,0.0,58344.0,0.8162524159997702,8.68,0.249206,160500.0,56952.0,0.470954,1606.0,0,12.766178875230253,0,ended_with_n,25.66278462484479,D10000_seed0_balanced_beam_pvs_vs_beam_alpha_beta,0,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_alpha_beta,0.26311389026137033,1735088.0,1933938.0,balanced:beam_alpha_beta,47467.0,3,0.0,0.0,0.0,0.0,60237.0,1.0000246251001954,8.89795918367347,0.277804,156479.0,0.0,0.401377,0.0,1,12.892580622807145,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,99,99,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,13f83c2052bc052005e588fe7b9704a1eecbafee8dcd63e189b275acd3cb0946,74273ec92dd5b9b50e5d125bf7fc94fc234d4603966a511f8ecb7898b44b9b29,0,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.2615317716356367,1782076.0,1983228.0,balanced:beam_alpha_beta,48164.0,3,0.0,0.0,0.0,0.0,59770.0,0.6549480000976473,8.92,0.27197550000000004,157063.0,0.0,0.432697,0.0,0,13.076588581781834,0,ended_with_n,26.221608083928004,D10000_seed0_balanced_beam_alpha_beta_vs_beam_pvs,0,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,beam_pvs,0.26281918738037346,1863236.0,2076273.0,balanced:beam_pvs,60685.0,3,0.0,0.0,0.0,0.0,57926.0,0.8698336658999324,8.56,0.27911949999999996,160178.0,56596.0,0.432497,1530.0,0,13.140959369018674,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,100,100,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,f7feddf87127e40bde1a535f59cac947714438dc1e954782a6d8ce39feaff155,00ebc1cac9dd741110af9ac9d2df615d6c05ca991919c4f06c178a9ef7a4ac28,1,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,alpha_beta,0.32035349324790086,0.0,1735874.0,balanced:alpha_beta,43781.0,14,0.0,0.0,0.0,0.0,110880.0,1.000028708949685,6.590909090909091,0.2622975,173777.0,0.0,1.000025,0.0,3,14.095553702907637,0,ended_with_n,20.91159183299169,D10000_seed1_balanced_alpha_beta_vs_beam_alpha_beta,1000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_alpha_beta,0.15844450388536896,1327712.0,1479439.0,balanced:beam_alpha_beta,38270.0,1,0.0,0.0,0.0,0.0,39747.0,0.4496188329067081,8.953488372093023,0.084352,113283.0,0.0,0.404975,0.0,0,6.813113667070866,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,87,87,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,f7feddf87127e40bde1a535f59cac947714438dc1e954782a6d8ce39feaff155,00ebc1cac9dd741110af9ac9d2df615d6c05ca991919c4f06c178a9ef7a4ac28,1,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.16126682261698122,1339633.0,1492706.0,balanced:beam_alpha_beta,38625.0,1,0.0,0.0,0.0,0.0,40072.0,0.45486704213544726,8.953488372093023,0.084013,114263.0,0.0,0.404508,0.0,0,6.934473372530192,0,ended_with_n,20.036453000037,D10000_seed1_balanced_beam_alpha_beta_vs_alpha_beta,1000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,alpha_beta,0.30463112209013904,0.0,1613136.0,balanced:alpha_beta,40803.0,12,0.0,0.0,0.0,0.0,101953.0,1.0000255000777543,6.5813953488372094,0.25885,160727.0,0.0,0.9276,0.0,2,13.099138249875978,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,86,86,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,f7feddf87127e40bde1a535f59cac947714438dc1e954782a6d8ce39feaff155,00ebc1cac9dd741110af9ac9d2df615d6c05ca991919c4f06c178a9ef7a4ac28,1,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_pvs,0.14015978919410976,6040041.0,6768139.0,balanced:beam_pvs,202149.0,1,0.0,0.0,0.0,0.0,159658.0,0.4216158748604357,8.990147783251231,0.135157,511265.0,167571.0,0.253361,3592.0,0,28.452437206404284,0,ended_with_n,57.69842762500048,D10000_seed1_balanced_beam_pvs_vs_beam_alpha_beta,1000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_alpha_beta,0.14472076299342115,5807836.0,6509054.0,balanced:beam_alpha_beta,170767.0,1,0.0,0.0,0.0,0.0,179354.0,0.4156289170496166,8.990099009900991,0.128945,519297.0,0.0,0.311112,0.0,0,29.23359412467107,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,405,405,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,f7feddf87127e40bde1a535f59cac947714438dc1e954782a6d8ce39feaff155,00ebc1cac9dd741110af9ac9d2df615d6c05ca991919c4f06c178a9ef7a4ac28,1,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.13886139981145856,5693823.0,6379694.0,balanced:beam_alpha_beta,170145.0,1,0.0,0.0,0.0,0.0,171713.0,0.4209109579678625,8.990147783251231,0.127879,504799.0,0.0,0.283975,0.0,0,28.188864161726087,0,ended_with_n,56.41414975002408,D10000_seed1_balanced_beam_alpha_beta_vs_beam_pvs,1000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_pvs,0.13966687003468709,5943479.0,6661158.0,balanced:beam_pvs,196285.0,1,0.0,0.0,0.0,0.0,159521.0,0.4688118339981884,8.990099009900991,0.1294925,505072.0,166713.0,0.270804,3569.0,0,28.21270774700679,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,405,405,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,59edaee16af2b20642c56fa4bb9a8c35595ca110b1af4b4e9ca87dc6ac356675,0824de995be4df8286e04f923f31fd74155137b5eb25a6870a0541b2726977f6,2,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,alpha_beta,0.28617478287877873,0.0,1671201.0,balanced:alpha_beta,42378.0,8,0.0,0.0,0.0,0.0,94835.0,0.6798169589601457,6.553191489361702,0.259787,155710.0,0.0,0.572252,0.0,0,13.4502147953026,0,ended_with_n,19.99055758281611,D10000_seed2_balanced_alpha_beta_vs_beam_alpha_beta,2000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_alpha_beta,0.13908950623838193,1194642.0,1328485.0,balanced:beam_alpha_beta,33146.0,3,0.0,0.0,0.0,0.0,36118.0,0.618636375060305,8.914893617021276,0.099582,101005.0,0.0,0.36198,0.0,0,6.53720679320395,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,94,94,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,59edaee16af2b20642c56fa4bb9a8c35595ca110b1af4b4e9ca87dc6ac356675,0824de995be4df8286e04f923f31fd74155137b5eb25a6870a0541b2726977f6,2,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.15990937159060398,983511.0,1086265.0,balanced:beam_alpha_beta,25267.0,1,0.0,0.0,0.0,0.0,26113.0,0.5576533330604434,8.944444444444445,0.1261365,75736.0,0.0,0.455646,0.0,0,5.756737377261743,0,ended_with_n,17.302844332996756,D10000_seed2_balanced_beam_alpha_beta_vs_alpha_beta,2000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,alpha_beta,0.3206560775223706,0.0,1221197.0,balanced:alpha_beta,29610.0,6,0.0,0.0,0.0,0.0,71331.0,1.0000274998601526,6.638888888888889,0.3089065,115998.0,0.0,1.000026,0.0,2,11.54361879080534,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,72,72,first
