agent,ply,candidate_count,selected_count,pruned_count,ordering_calls
beam_alpha_beta,0,8474,1573,6901,135
beam_alpha_beta,1,44064,12204,31860,1551
beam_alpha_beta,2,73641,12810,60831,3264
beam_alpha_beta,3,249185,19060,230125,9568
beam_alpha_beta,4,214076,25051,189025,12627
beam_alpha_beta,5,518828,43651,475177,21919
beam_alpha_beta,6,523465,58077,465388,29393
beam_alpha_beta,7,1203543,98411,1105132,49506
beam_alpha_beta,8,1176005,120042,1055963,60629
dynamic_beam_alpha_beta,0,3613,600,3013,75
dynamic_beam_alpha_beta,1,19131,4350,14781,563
dynamic_beam_alpha_beta,2,31626,6134,25492,1519
dynamic_beam_alpha_beta,3,105088,7983,97105,3773
dynamic_beam_alpha_beta,4,101120,13691,87429,5748
dynamic_beam_alpha_beta,5,292809,23289,269520,10710
dynamic_beam_alpha_beta,6,313524,43094,270430,16739
dynamic_beam_alpha_beta,7,984497,71948,912549,32502
dynamic_beam_alpha_beta,8,618721,87664,531057,32896
dynamic_beam_pvs,0,3318,483,2835,62
dynamic_beam_pvs,1,16815,3758,13057,487
dynamic_beam_pvs,2,35472,6385,29087,1611
dynamic_beam_pvs,3,87518,7386,80132,3521
dynamic_beam_pvs,4,107389,12260,95129,5594
dynamic_beam_pvs,5,206548,19010,187538,8857
dynamic_beam_pvs,6,295313,31337,263976,13946
dynamic_beam_pvs,7,515360,46916,468444,21301
dynamic_beam_pvs,8,582909,57225,525684,24993
