agent,ply_and_width,use_count
dynamic_beam_alpha_beta,0:1,2
dynamic_beam_alpha_beta,0:10,5
dynamic_beam_alpha_beta,0:11,4
dynamic_beam_alpha_beta,0:12,12
dynamic_beam_alpha_beta,0:2,2
dynamic_beam_alpha_beta,0:3,2
dynamic_beam_alpha_beta,0:4,3
dynamic_beam_alpha_beta,0:5,4
dynamic_beam_alpha_beta,0:6,5
dynamic_beam_alpha_beta,0:7,3
dynamic_beam_alpha_beta,0:8,30
dynamic_beam_alpha_beta,0:9,3
dynamic_beam_alpha_beta,1:6,76
dynamic_beam_alpha_beta,1:7,2
dynamic_beam_alpha_beta,1:8,485
dynamic_beam_alpha_beta,2:1,2
dynamic_beam_alpha_beta,2:2,4
dynamic_beam_alpha_beta,2:3,58
dynamic_beam_alpha_beta,2:4,1363
dynamic_beam_alpha_beta,2:5,54
dynamic_beam_alpha_beta,2:6,38
dynamic_beam_alpha_beta,3:1,4
dynamic_beam_alpha_beta,3:2,3596
dynamic_beam_alpha_beta,3:3,52
dynamic_beam_alpha_beta,3:4,20
dynamic_beam_alpha_beta,3:5,55
dynamic_beam_alpha_beta,3:6,46
dynamic_beam_alpha_beta,4:1,10
dynamic_beam_alpha_beta,4:2,4970
dynamic_beam_alpha_beta,4:3,76
dynamic_beam_alpha_beta,4:4,183
dynamic_beam_alpha_beta,4:5,273
dynamic_beam_alpha_beta,4:6,236
dynamic_beam_alpha_beta,5:1,6
dynamic_beam_alpha_beta,5:2,10014
dynamic_beam_alpha_beta,5:3,86
dynamic_beam_alpha_beta,5:4,182
dynamic_beam_alpha_beta,5:5,263
dynamic_beam_alpha_beta,5:6,159
dynamic_beam_alpha_beta,6:1,117
dynamic_beam_alpha_beta,6:2,12927
dynamic_beam_alpha_beta,6:3,488
dynamic_beam_alpha_beta,6:4,1234
dynamic_beam_alpha_beta,6:5,1115
dynamic_beam_alpha_beta,6:6,858
dynamic_beam_alpha_beta,7:1,108
dynamic_beam_alpha_beta,7:2,29602
dynamic_beam_alpha_beta,7:3,513
dynamic_beam_alpha_beta,7:4,862
dynamic_beam_alpha_beta,7:5,853
dynamic_beam_alpha_beta,7:6,564
dynamic_beam_alpha_beta,8:1,127
dynamic_beam_alpha_beta,8:2,25091
dynamic_beam_alpha_beta,8:3,670
dynamic_beam_alpha_beta,8:4,2081
dynamic_beam_alpha_beta,8:5,2541
dynamic_beam_alpha_beta,8:6,2386
dynamic_beam_pvs,0:1,2
dynamic_beam_pvs,0:10,4
dynamic_beam_pvs,0:11,3
dynamic_beam_pvs,0:12,9
dynamic_beam_pvs,0:2,2
dynamic_beam_pvs,0:3,2
dynamic_beam_pvs,0:4,2
dynamic_beam_pvs,0:5,4
dynamic_beam_pvs,0:6,5
dynamic_beam_pvs,0:7,3
dynamic_beam_pvs,0:8,23
dynamic_beam_pvs,0:9,3
dynamic_beam_pvs,1:6,68
dynamic_beam_pvs,1:7,2
dynamic_beam_pvs,1:8,417
dynamic_beam_pvs,2:1,36
dynamic_beam_pvs,2:2,4
dynamic_beam_pvs,2:3,29
dynamic_beam_pvs,2:4,1491
dynamic_beam_pvs,2:5,16
dynamic_beam_pvs,2:6,35
dynamic_beam_pvs,3:1,35
dynamic_beam_pvs,3:2,3373
dynamic_beam_pvs,3:3,13
dynamic_beam_pvs,3:4,3
dynamic_beam_pvs,3:5,28
dynamic_beam_pvs,3:6,69
dynamic_beam_pvs,4:1,83
dynamic_beam_pvs,4:2,5128
dynamic_beam_pvs,4:3,60
dynamic_beam_pvs,4:4,39
dynamic_beam_pvs,4:5,119
dynamic_beam_pvs,4:6,165
dynamic_beam_pvs,5:1,202
dynamic_beam_pvs,5:2,8107
dynamic_beam_pvs,5:3,148
dynamic_beam_pvs,5:4,29
dynamic_beam_pvs,5:5,192
dynamic_beam_pvs,5:6,179
dynamic_beam_pvs,6:1,331
dynamic_beam_pvs,6:2,12292
dynamic_beam_pvs,6:3,162
dynamic_beam_pvs,6:4,308
dynamic_beam_pvs,6:5,414
dynamic_beam_pvs,6:6,439
dynamic_beam_pvs,7:1,457
dynamic_beam_pvs,7:2,19152
dynamic_beam_pvs,7:3,200
dynamic_beam_pvs,7:4,413
dynamic_beam_pvs,7:5,571
dynamic_beam_pvs,7:6,508
dynamic_beam_pvs,8:1,484
dynamic_beam_pvs,8:2,21801
dynamic_beam_pvs,8:3,397
dynamic_beam_pvs,8:4,568
dynamic_beam_pvs,8:5,782
dynamic_beam_pvs,8:6,961
