figure,series,metric,value,games,wins,losses,wilson_low,wilson_high,positions
01_initial_agents_win_rate,random,win_rate,0.0,30,0,30,0.0,0.11351339317396876,
01_initial_agents_win_rate,monte_carlo,win_rate,0.2,30,6,24,0.0950510717728987,0.3730569641314825,
01_initial_agents_win_rate,greedy,win_rate,0.4,30,12,18,0.24590628116801852,0.5767963974667752,
01_initial_agents_win_rate,minimax,win_rate,0.6333333333333333,30,19,11,0.4551356365479487,0.7812607919389929,
01_initial_agents_win_rate,full_alpha_beta,win_rate,0.8666666666666667,30,26,4,0.703186733179637,0.9469034451594526,
01_initial_agents_win_rate,selective_alpha_beta,win_rate,0.9,30,27,3,0.7437891742081593,0.9654001112526658,
02_selective_alpha_beta_effect,full_alpha_beta,mean_time_sec,1.3068623157637194,,,,,,50
02_selective_alpha_beta_effect,full_alpha_beta,mean_nodes,13969.0,,,,,,50
02_selective_alpha_beta_effect,selective_alpha_beta,mean_time_sec,0.20102923675905912,,,,,,50
02_selective_alpha_beta_effect,selective_alpha_beta,mean_nodes,2300.64,,,,,,50
02_selective_alpha_beta_effect,comparison,move_agreement_rate,0.925,,,,,,40
03_beam_pruning_effect,beam_negamax,mean_time_sec,0.09169191963571523,,,,,,14
03_beam_pruning_effect,beam_negamax,mean_nodes,1350.0,,,,,,14
03_beam_pruning_effect,beam_alpha_beta,mean_time_sec,0.026475806587508748,,,,,,14
03_beam_pruning_effect,beam_alpha_beta,mean_nodes,403.85714285714283,,,,,,14
04_four_agents_round_robin,selective_alpha_beta,win_rate,0.5833333333333334,60,35,25,0.45728081022640116,0.6993572144165838,
06_search_depth_and_strength,selective_alpha_beta,mean_effective_depth,6.106403013182674,60,,,,,
04_four_agents_round_robin,pvs,win_rate,0.5,60,30,30,0.3773502424155577,0.6226497575844423,
06_search_depth_and_strength,pvs,mean_effective_depth,6.008260670032125,60,,,,,
04_four_agents_round_robin,beam_alpha_beta,win_rate,0.4,60,24,36,0.2856949053488255,0.5263394650795924,
06_search_depth_and_strength,beam_alpha_beta,mean_effective_depth,8.89337822671156,60,,,,,
04_four_agents_round_robin,beam_pvs,win_rate,0.5166666666666667,60,31,29,0.39307810032592494,0.6382495046026722,
06_search_depth_and_strength,beam_pvs,mean_effective_depth,8.841954022988507,60,,,,,
05_beam_alpha_beta_direct,beam_alpha_beta,win_rate,0.575,40,23,17,0.42195068541991065,0.7149060744004962,
05_beam_alpha_beta_direct,selective_alpha_beta,win_rate,0.425,40,17,23,0.28509392559950375,0.5780493145800892,
appendix_beam_parameters,baseline,win_rate,0.5,20,10,10,,,
appendix_beam_parameters,deep,win_rate,0.2,20,4,16,,,
appendix_beam_parameters,wide,win_rate,0.4,20,8,12,,,
appendix_beam_parameters,deep_wide,win_rate,0.8,20,16,4,,,
07_board_adaptive_comparison,fixed_beam_alpha_beta,win_rate,0.5,40,20,20,0.35199526933465386,0.6480047306653461,
07_board_adaptive_comparison,gap_conservative,win_rate,0.475,40,19,21,0.329354701126789,0.6250263789330753,
07_board_adaptive_comparison,gap_responsive,win_rate,0.25,40,10,30,0.14187118639096302,0.40193961420768026,
07_board_adaptive_comparison,proof_strict,win_rate,0.575,40,23,17,0.42195068541991065,0.7149060744004962,
07_board_adaptive_comparison,proof_moderate,win_rate,0.7,40,28,12,0.5456998118185507,0.8192515477025347,
