stage,agent,opponent,games,wins,losses,draws,win_rate
final4,selective_alpha_beta,pvs,20,13,7,0,0.65
final4,selective_alpha_beta,beam_alpha_beta,20,13,7,0,0.65
final4,selective_alpha_beta,beam_pvs,20,9,11,0,0.45
final4,pvs,selective_alpha_beta,20,7,13,0,0.35
final4,pvs,beam_alpha_beta,20,13,7,0,0.65
final4,pvs,beam_pvs,20,10,10,0,0.5
final4,beam_alpha_beta,selective_alpha_beta,20,7,13,0,0.35
final4,beam_alpha_beta,pvs,20,7,13,0,0.35
final4,beam_alpha_beta,beam_pvs,20,10,10,0,0.5
final4,beam_pvs,selective_alpha_beta,20,11,9,0,0.55
final4,beam_pvs,pvs,20,10,10,0,0.5
final4,beam_pvs,beam_alpha_beta,20,10,10,0,0.5
initial6,random,monte_carlo,6,0,6,0,0.0
initial6,random,greedy,6,0,6,0,0.0
initial6,random,minimax,6,0,6,0,0.0
initial6,random,full_alpha_beta,6,0,6,0,0.0
initial6,random,selective_alpha_beta,6,0,6,0,0.0
initial6,monte_carlo,random,6,6,0,0,1.0
initial6,monte_carlo,greedy,6,0,6,0,0.0
initial6,monte_carlo,minimax,6,0,6,0,0.0
initial6,monte_carlo,full_alpha_beta,6,0,6,0,0.0
initial6,monte_carlo,selective_alpha_beta,6,0,6,0,0.0
initial6,greedy,random,6,6,0,0,1.0
initial6,greedy,monte_carlo,6,6,0,0,1.0
initial6,greedy,minimax,6,0,6,0,0.0
initial6,greedy,full_alpha_beta,6,0,6,0,0.0
initial6,greedy,selective_alpha_beta,6,0,6,0,0.0
initial6,minimax,random,6,6,0,0,1.0
initial6,minimax,monte_carlo,6,6,0,0,1.0
initial6,minimax,greedy,6,6,0,0,1.0
initial6,minimax,full_alpha_beta,6,1,5,0,0.16666666666666666
initial6,minimax,selective_alpha_beta,6,0,6,0,0.0
initial6,full_alpha_beta,random,6,6,0,0,1.0
initial6,full_alpha_beta,monte_carlo,6,6,0,0,1.0
initial6,full_alpha_beta,greedy,6,6,0,0,1.0
initial6,full_alpha_beta,minimax,6,5,1,0,0.8333333333333334
initial6,full_alpha_beta,selective_alpha_beta,6,3,3,0,0.5
initial6,selective_alpha_beta,random,6,6,0,0,1.0
initial6,selective_alpha_beta,monte_carlo,6,6,0,0,1.0
initial6,selective_alpha_beta,greedy,6,6,0,0,1.0
initial6,selective_alpha_beta,minimax,6,6,0,0,1.0
initial6,selective_alpha_beta,full_alpha_beta,6,3,3,0,0.5
