section,agent,label,games,wins,losses,draws,win_rate,wilson_low,wilson_high,first_games,first_wins,first_win_rate,second_games,second_wins,second_win_rate,mean_decision_time_sec,maximum_decision_time_sec,nodes_searched,mean_nodes_per_decision,decision_count,mean_effective_depth,internal_timeout_count,depth_change_count,cutoff_count,beam_pruned_move_count,null_window_search_count,research_count,research_rate,depth,position_count,full_complete_count,full_completion_rate,selective_complete_count,selective_completion_rate,comparable_count,comparable_rate,move_agreement_rate,score_agreement_rate,full_mean_time_sec,selective_mean_time_sec,full_mean_nodes,selective_mean_nodes
initial_agents,random,Random,30,0,30,0,0.0,0.0,0.11351339317396876,15,0,0.0,15,0,0.0,1.9532294819764717e-05,0.0008513748180121183,0.0,0.0,1455,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
initial_agents,monte_carlo,Monte Carlo,30,6,24,0,0.2,0.0950510717728987,0.3730569641314825,15,3,0.2,15,3,0.2,0.27899305202584274,0.6383618330582976,0.0,0.0,1369,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
initial_agents,greedy,Greedy,30,12,18,0,0.4,0.24590628116801852,0.5767963974667752,15,6,0.4,15,6,0.4,0.00018865748566798956,0.008112791925668716,0.0,0.0,741,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
initial_agents,minimax,Minimax,30,19,11,0,0.6333333333333333,0.4551356365479487,0.7812607919389929,15,10,0.6666666666666666,15,9,0.6,0.041450625108714695,0.11734520900063217,579556.0,526.8690909090909,1100,3.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
initial_agents,full_alpha_beta,Full AlphaBeta,30,26,4,0,0.8666666666666667,0.703186733179637,0.9469034451594526,15,14,0.9333333333333333,15,12,0.8,0.12252645847402115,1.0000455828849226,1188871.0,1453.3875305623471,818,4.0,15,0,377735.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
initial_agents,selective_alpha_beta,Selective AlphaBeta,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,15,14,0.9333333333333333,15,13,0.8666666666666667,0.3036484900522483,1.0015933748800308,3591056.0,3642.04462474645,986,6.274847870182556,37,295,838885.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
unseen_seed_final_agents,selective_alpha_beta,Selective AlphaBeta,60,35,25,0,0.5833333333333334,0.45728081022640116,0.6993572144165838,30,18,0.6,30,17,0.5666666666666667,0.31384346516367173,1.014796334085986,6319799.0,2975.4232580037665,2124,6.106403013182674,74,722,1488012.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
unseen_seed_final_agents,pvs,PVS,60,30,30,0,0.5,0.3773502424155577,0.6226497575844423,30,15,0.5,30,15,0.5,0.31850084580601323,1.680859083076939,6626452.0,3041.0518586507574,2179,6.008260670032125,86,742,1587487.0,0.0,4368105.0,29640.0,0.006785551171503432,,,,,,,,,,,,,,
unseen_seed_final_agents,beam_alpha_beta,Beam AlphaBeta,60,24,36,0,0.4,0.2856949053488255,0.5263394650795924,30,13,0.43333333333333335,30,11,0.36666666666666664,0.18303820620191352,1.0097524169832468,6207510.0,2322.300785634119,2673,8.89337822671156,6,142,2047976.0,70557240.0,0.0,0.0,0.0,,,,,,,,,,,,,,
unseen_seed_final_agents,beam_pvs,Beam PVS,60,31,29,0,0.5166666666666667,0.39307810032592494,0.6382495046026722,30,16,0.5333333333333333,30,15,0.5,0.19669584941217083,2.824282000074163,7216114.0,2591.994971264368,2784,8.841954022988507,12,212,2768398.0,84244591.0,2434246.0,62005.0,0.025471953122239904,,,,,,,,,,,,,,
fixed_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,50,1.0,50,1.0,50,1.0,0.86,0.74,0.7239222299447283,0.016982168373651803,7685.04,185.46
fixed_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50,46,0.92,50,1.0,46,0.92,0.8478260869565217,0.8043478260869565,1.004151828326285,0.055001794998534026,13746.64,646.42
fixed_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,40,0.8,50,1.0,40,0.8,0.925,0.825,1.3068623157637194,0.20102923675905912,13969.0,2300.64
