agent,beam_candidate_counts_by_ply,beam_max_selected_by_ply,beam_ordering_calls_by_ply,beam_pruned_move_count,beam_selected_counts_by_ply,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,graph_ordering_calls,graph_ordering_changed_first_count,graph_ordering_evaluations,graph_ordering_time_sec,graph_root_baseline_first,graph_root_ordered_first,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn
full_alpha_beta,{},{},{},0,{},,{},,0.0034498341847211123,0.0002258338499814272,close_scores,11,full_alpha_beta_d3,30,3,3,3,adaptive_disabled,False,3,0.004578466806560755,0.022892334032803774,58,0,0,0,0.0,null,null,3,0.017875876277685165,195,11,6.917165592312813e-06,3,238,0,1440,2.4916836991906166e-05,seed10_close_scores_t4,presentation_fixed,1192,0,0.0036420454271137714,0.0012838284019380808,9996,0,0.0,medium,11,1.0,5.874992348253727e-05,529.0,10,16→58,11,,presentation_confirmation,16,0.004578466806560755,5.0,False,4
full_alpha_beta,{},{},{},0,{},,{},,0.002874754136428237,0.00018908316269516945,endgame,6,full_alpha_beta_d3,30,3,3,3,adaptive_disabled,False,3,0.001625033188611269,0.008125165943056345,42,0,0,0,0.0,null,null,3,0.004590915748849511,31,6,4.58303838968277e-06,3,67,0,1165,8.479086682200432e-05,seed10_endgame_t67,presentation_fixed,1091,0,0.0030498297419399023,0.00036117155104875565,9933,0,0.0,low,6,1.0,3.38749960064888e-05,-999996.0,10,63→42,6,,presentation_confirmation,63,0.001625033188611269,5.0,False,67
full_alpha_beta,{},{},{},0,{},,{},,0.006376553326845169,0.0004123339895159006,high_branch,52,full_alpha_beta_d3,56,3,3,3,adaptive_disabled,False,3,0.011405483400449157,0.057027417002245784,63,0,0,0,0.0,null,null,3,0.046989752911031246,449,52,7.082941010594368e-06,3,558,0,2642,2.03761737793684e-05,seed10_high_branch_t56,presentation_fixed,2030,0,0.0066948202438652515,0.0031751347705721855,9944,0,0.0,high,52,1.0,0.0001402499619871378,1366.5,10,1→63,52,,presentation_confirmation,1,0.011405483400449157,5.0,False,56
full_alpha_beta,{},{},{},0,{},,{},,0.007353091146796942,0.0004797857254743576,middle,24,full_alpha_beta_d3,71,3,3,3,adaptive_disabled,False,3,0.009772066585719585,0.04886033292859793,58,0,0,0,0.0,null,null,3,0.0383387163747102,405,24,4.541827365756035e-06,3,504,0,3073,2.041715197265148e-05,seed10_middle_t36,presentation_fixed,2542,0,0.007795239333063364,0.0026215852703899145,9964,0,0.0,medium,24,1.0,7.983297109603882e-05,1135.0,10,58→58,24,,presentation_confirmation,58,0.009772066585719585,5.0,False,36
full_alpha_beta,{},{},{},0,{},,{},,0.2675223087426275,0.01644703675992787,opening,2278,full_alpha_beta_d3,2286,3,3,3,adaptive_disabled,False,3,0.5629050083924085,2.8145250419620425,16,0,0,0,0.0,null,null,3,2.373903607018292,24298,2278,0.00039254198782145977,3,28878,0,114260,3.354065120220184e-05,seed10_opening_t0,presentation_fixed,83491,0,0.27966643311083317,0.15446641901507974,10000,0,0.0,high,2278,1.0,0.006062500178813934,1386.5,10,58→16,2278,,presentation_confirmation,58,0.5629050083924085,5.0,False,0
full_alpha_beta,{},{},{},0,{},,{},,0.010019554989412427,0.0006551630795001984,close_scores,25,full_alpha_beta_d3,100,3,3,3,adaptive_disabled,False,3,0.007048508385196328,0.03524254192598164,28,0,0,0,0.0,null,null,3,0.022395787527784705,289,25,4.458008334040642e-06,3,418,0,4232,1.529301516711712e-05,seed11_close_scores_t35,presentation_fixed,3785,0,0.010656520258635283,0.00209781713783741,9965,0,0.0,medium,25,1.0,7.26659782230854e-05,409.0,11,30→28,25,,presentation_confirmation,30,0.007048508385196328,5.0,False,35
full_alpha_beta,{},{},{},0,{},,{},,0.002897088648751378,0.00020129024051129818,endgame,3,full_alpha_beta_d3,34,3,3,3,adaptive_disabled,False,3,0.0013143000192940234,0.006571500096470118,60,0,0,0,0.0,null,null,3,0.003039578441530466,35,3,1.708976924419403e-06,3,72,0,1243,8.508306927978992e-05,seed11_endgame_t328,presentation_fixed,1167,0,0.003100828966125846,0.0003310085739940405,9672,0,0.0,low,3,1.0,1.3292068615555763e-05,-999996.0,11,20→60,3,,presentation_confirmation,20,0.0013143000192940234,5.0,False,328
full_alpha_beta,{},{},{},0,{},,{},,0.005191506585106254,0.00033712550066411495,high_branch,50,full_alpha_beta_d3,48,3,3,3,adaptive_disabled,False,3,0.009858791809529066,0.04929395904764533,20,0,0,0,0.0,null,null,3,0.04090737272053957,440,50,5.958136171102524e-06,3,541,0,2219,1.4835037291049957e-05,seed11_high_branch_t242,presentation_fixed,1624,0,0.005434621591120958,0.00279613072052598,9758,0,0.0,high,50,1.0,0.00013504084199666977,1406.5,11,7→20,50,,presentation_confirmation,7,0.009858791809529066,5.0,False,242
full_alpha_beta,{},{},{},0,{},,{},,0.009680633898824453,0.0006325826980173588,middle,35,full_alpha_beta_d3,99,3,3,3,adaptive_disabled,False,3,0.010224174987524749,0.05112087493762374,28,0,0,0,0.0,null,null,3,0.038065492641180754,418,35,4.875008016824722e-06,3,556,0,4212,1.1458992958068848e-05,seed11_middle_t166,presentation_fixed,3617,0,0.010277747875079513,0.0026714676059782505,9834,0,0.0,high,35,1.0,8.983281441032887e-05,1316.5,11,62→28,35,,presentation_confirmation,62,0.010224174987524749,5.0,False,166
full_alpha_beta,{},{},{},0,{},,{},,0.2798346560448408,0.017110371962189674,opening,2254,full_alpha_beta_d3,2208,3,3,3,adaptive_disabled,False,3,0.679555183229968,3.3977759161498398,20,0,0,0,0.0,null,null,3,2.907243666006252,32308,2254,0.00021549989469349384,3,37699,0,118636,2.895737998187542e-05,seed11_opening_t0,presentation_fixed,78002,0,0.29300742177292705,0.19123707921244204,10000,0,0.0,high,2254,1.0,0.006043291883543134,1566.5,11,20→20,2254,,presentation_confirmation,20,0.679555183229968,5.0,False,0
