agent,profile,position_count,lowered_depth_count,lowered_depth_rate,raised_depth_count,raised_depth_rate,max_effective_depth,move_change_when_lowered_rate,previous_time_next_fixed_time_correlation,legal_edges_effective_depth_correlation,remaining_words_effective_depth_correlation,depth_change_count,depth_oscillation_count
alpha_beta,fixed,10,0,0.0,0,0.0,5,0.0,-0.020899418559881793,,,0,0
alpha_beta,conservative,10,3,0.3,1,0.1,6,0.3333333333333333,0.05673494770663187,0.1696374591661986,0.17105191591480037,3,1
alpha_beta,standard,10,0,0.0,2,0.2,6,0.0,-0.029239730698469385,-0.2522063550733537,-0.2490240601173762,2,0
alpha_beta,aggressive,10,0,0.0,6,0.6,7,0.0,-0.299656019865118,-0.5354316782327977,-0.533512552128508,4,0
pvs,fixed,10,0,0.0,0,0.0,5,0.0,-0.16001446697496974,,,0,0
pvs,conservative,10,3,0.3,0,0.0,5,0.3333333333333333,-0.11641686686195925,0.3287427703748615,0.3284666501420816,2,1
pvs,standard,10,3,0.3,2,0.2,6,0.3333333333333333,-0.13645780606630972,0.0710947441598392,0.07273243529645163,3,1
pvs,aggressive,10,0,0.0,4,0.4,7,0.0,-0.20139343506311205,-0.37272497731015825,-0.3707727285424274,3,0
beam_negamax,fixed,10,0,0.0,0,0.0,6,0.0,-0.053377553659311246,,,0,0
beam_negamax,conservative,10,5,0.5,0,0.0,6,0.2,0.010022101802591308,0.5030628099411407,0.5002639056028343,3,1
beam_negamax,standard,10,0,0.0,2,0.2,7,0.0,-0.04250883614492251,-0.2597058006598346,-0.25808863662316545,1,0
beam_negamax,aggressive,10,0,0.0,6,0.6,8,0.0,-0.29317741949162074,-0.549441145146425,-0.548721286808779,4,0
