config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,elapsed_ratio,target_elapsed_ratio,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.1358422499615699,0.1358422499615699,0.1358422499615699,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,adaptive_disabled,0,246,6852,0,0,0,0.0,{},0.00016679195687174797,0.022762481123209,0.0024172852281481028,0.004238875117152929,0.021193404216319323,0.10178940393961966,0.00839969189837575,5.408283323049545e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04474141588434577,0.04474141588434577,0.04474141588434577,False,720,521,4069,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,142,3346,0,0,0,0.0,{},1.916196197271347e-06,0.009854307398200035,0.0009859942365437746,1.1416850611567497e-05,0.010910783195868134,0.030893707182258368,0.0028573425952345133,6.624986417591572e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09715074999257922,0.09715074999257922,0.09715074999257922,False,1204,809,7698,26,8,8,1.0,5,5,5,False,adaptive_disabled,0,277,6493,0,0,0,0.0,{},5.166977643966675e-06,0.018354750936850905,0.0017854543402791023,7.924996316432953e-05,0.020212139701470733,0.07217020425014198,0.004669031128287315,1.49579718708992e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010871458798646927,0.010871458798646927,0.010871458798646927,False,191,124,970,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,27,779,0,0,0,0.0,{},1.875218003988266e-06,0.0024128747172653675,0.00024079321883618832,1.3124896213412285e-05,0.0026615834794938564,0.007400621194392443,0.0007768783252686262,1.7375685274600983e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.023864082992076874,0.023864082992076874,0.023864082992076874,False,462,205,3810,23,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,3348,0,0,0,0.0,{},4.666857421398163e-06,0.009102967102080584,0.0008819506037980318,7.120892405509949e-05,0.009974445216357708,0.012014333857223392,0.001787679037079215,1.174909994006157e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.05860708304680884,0.05860708304680884,0.05860708304680884,False,774,557,5346,1678,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,4506,0,0,0,0.0,{},0.00017674989067018032,0.012722069164738059,0.0010182003024965525,0.004167875042185187,0.009658904979005456,0.04155890899710357,0.00301822810433805,2.6416033506393433e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.3134737501386553,0.3134737501386553,0.3134737501386553,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,adaptive_disabled,0,904,17629,0,0,0,0.0,{},6.00004568696022e-06,0.05244574509561062,0.005327275488525629,9.020790457725525e-05,0.0581946293823421,0.2387652702163905,0.016402642475441098,1.500011421740055e-05,False,False
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.05539616709575057,0.05539616709575057,0.05539616709575057,False,888,619,4730,37,8,8,1.0,5,5,5,False,adaptive_disabled,0,145,3783,0,0,0,0.0,{},5.541834980249405e-06,0.011172193102538586,0.0011735474690794945,0.00011012516915798187,0.012358531821519136,0.03941567172296345,0.003492171410471201,1.4125136658549309e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.045009708032011986,0.045009708032011986,0.045009708032011986,False,733,522,3949,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,145,3193,0,0,0,0.0,{},1.7920974642038345e-06,0.009487762115895748,0.0009747769217938185,1.0249903425574303e-05,0.010539105860516429,0.03157437243498862,0.0028161886148154736,6.799912080168724e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.000831458019092679,0.000831458019092679,0.000831458019092679,False,23,6,224,3,3,3,1.0,5,5,5,False,adaptive_disabled,0,10,194,0,0,0,0.0,{},1.8749851733446121e-06,0.0005292929708957672,5.366583354771137e-05,1.454213634133339e-05,0.0005760826170444489,0.00013187527656555176,8.758413605391979e-05,1.949886791408062e-05,True,True
