config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,max_depth_fixed_move_agreement_rate,max_depth_fixed_score_agreement_rate
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,10,0.11774342539720237,0.11773833399638534,0.16152395796962082,0.31189070898108184,0.31189070898108184,0.31189070898108184,0,0.0,1840.2,1895.0,4420,5.8,348.8,5.7,1.0,4,0.0,0.7,0.5
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,10,0.072136241896078,0.05167412490118295,0.10968758398666978,0.3079393340740353,0.3079393340740353,0.3079393340740353,0,0.0,1066.6,747.0,4420,4.8,348.8,5.7,1.0,3,0.0,0.8,0.7
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,10,0.0785788123961538,0.05020293756388128,0.1358422499615699,0.3134737501386553,0.3134737501386553,0.3134737501386553,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,0.9,0.9
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,10,0.08133130006026476,0.05515706306323409,0.1086828748229891,0.30757412500679493,0.30757412500679493,0.30757412500679493,0,0.0,1245.9,876.5,4420,5.2,348.8,5.7,1.0,2,0.0,0.9,0.8
beam_negamax_d6_w8-6-4-2__aggressive,beam_negamax,6,6,8,0.6,,8-6-4-2,aggressive,10,0.13238266250118613,0.12819706252776086,0.19996683299541473,0.43095987499691546,0.43095987499691546,0.43095987499691546,0,0.0,2128.3,2051.5,6008,6.7,348.8,5.7,1.0,4,0.0,0.9,0.6
beam_negamax_d6_w8-6-4-2__conservative,beam_negamax,6,6,7,0.25,,8-6-4-2,conservative,10,0.08819709999952466,0.051362666534259915,0.2193182499613613,0.22073212498798966,0.22073212498798966,0.22073212498798966,0,0.0,1254.9,971.0,2936,5.5,348.8,5.7,1.0,3,0.0,0.9,0.7
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,10,0.09287590410094708,0.09216083295177668,0.16490758280269802,0.22076229215599597,0.22076229215599597,0.22076229215599597,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__standard,beam_negamax,6,6,8,0.4,,8-6-4-2,standard,10,0.09773197087924927,0.09191320848185569,0.16419525002129376,0.23662095796316862,0.23662095796316862,0.23662095796316862,0,0.0,1495.5,1790.5,2936,6.2,348.8,5.7,1.0,1,0.0,1.0,0.9
pvs_d5_b8__aggressive,pvs,5,5,7,0.6,8,,aggressive,10,0.11906088322866708,0.06865383347030729,0.1603532498702407,0.4938909588381648,0.4938909588381648,0.4938909588381648,0,0.0,1828.7,1043.0,7034,5.5,348.8,5.7,1.0,3,0.014245006169233607,0.9,0.8
pvs_d5_b8__conservative,pvs,5,5,6,0.25,8,,conservative,10,0.08841853751800954,0.03796435450203717,0.137041375041008,0.4869678339455277,0.4869678339455277,0.4869678339455277,0,0.0,1294.9,605.0,7034,4.7,348.8,5.7,1.0,2,0.01939312299203727,0.9,0.8
pvs_d5_b8__fixed,pvs,5,5,5,1.0,8,,fixed,10,0.100879658292979,0.052015542052686214,0.13614533399231732,0.5199242080561817,0.5199242080561817,0.5199242080561817,0,0.0,1450.5,883.0,7034,5.0,348.8,5.7,1.0,0,0.01674968578450989,1.0,1.0
pvs_d5_b8__standard,pvs,5,5,7,0.4,8,,standard,10,0.09760383751709015,0.04978431249037385,0.14019025000743568,0.495505667058751,0.495505667058751,0.495505667058751,0,0.0,1455.7,880.0,7034,4.9,348.8,5.7,1.0,3,0.019651815584598352,0.9,0.7
