agent,alpha_beta_move_agreement_rate,alpha_beta_reference_pair_count,alpha_beta_score_agreement_rate,baseline_move_agreement_rate,beam_widths,branch_limit,config_id,depth,depth_change_count,faster_than_alpha_beta_rate,max_nodes,max_time_sec,mean_absolute_score_difference_from_alpha_beta,mean_completed_root_moves,mean_effective_depth,mean_nodes,mean_research_rate,mean_root_candidate_count,mean_root_completion_rate,mean_time_difference_from_alpha_beta_sec,mean_time_sec,median_nodes,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,profile,run_count,slower_than_alpha_beta_rate,timeout_count,timeout_rate,alpha_beta_root_retention_rate
alpha_beta,1.0,10,1.0,0.6,,12,alpha_beta_d5_b12,5,0,0.0,3102,1.000169833889231,0.0,6.9,5.0,1527.8,0.0,348.8,0.9,0.0,0.521358220698312,1341.5,0.4520874790614471,1.0001385828945786,1.000169833889231,1.000169833889231,fixed,10,0.0,2,0.2,
alpha_beta,1.0,10,1.0,0.7,,16,alpha_beta_d5_b16,5,0,0.0,3307,1.0001793329138309,0.0,7.6,5.0,1902.9,0.0,348.8,0.81875,0.0,0.6202493123244495,1897.0,0.703488145605661,1.000159583054483,1.0001793329138309,1.0001793329138309,fixed,10,0.0,5,0.5,
alpha_beta,1.0,10,1.0,1.0,,8,alpha_beta_d5_b8,5,0,0.0,3070,1.000096958130598,0.0,5.3,5.0,974.8,0.0,348.8,0.95,0.0,0.3105872747953981,753.5,0.2197772499639541,0.480799000011757,1.000096958130598,1.000096958130598,fixed,10,0.0,1,0.1,
alpha_beta,1.0,10,1.0,0.7,,12,alpha_beta_d6_b12,6,0,0.0,4324,1.0003363750874996,0.0,4.5,6.0,2900.1,0.0,348.8,0.6166666666666667,0.0,0.7632766667520627,3086.0,0.9975906250765547,1.0002990840002894,1.0003363750874996,1.0003363750874996,fixed,10,0.0,5,0.5,
alpha_beta,1.0,10,1.0,0.6,,16,alpha_beta_d6_b16,6,0,0.0,9803,1.0002070830669254,0.0,7.7,6.0,5564.9,0.0,348.8,0.825,0.0,0.7716108416207135,6881.0,0.8889082084642723,1.0000404580496252,1.0002070830669254,1.0002070830669254,fixed,10,0.0,3,0.3,
alpha_beta,1.0,10,1.0,0.6,,8,alpha_beta_d6_b8,6,0,0.0,3304,1.0025855000130832,0.0,4.6,6.0,2067.3,0.0,348.8,0.8625,0.0,0.5721272084396333,2548.5,0.6240522710140795,1.0000708340667188,1.0025855000130832,1.0025855000130832,fixed,10,0.0,2,0.2,
beam_negamax,0.7,10,0.2,0.8,12-8-4-2,,beam_negamax_d5_w12-8-4-2,5,0,0.9,2796,0.4020714999642223,100317.625,8.1,5.0,1365.9,0.0,348.8,1.0,-0.46207079575397075,0.15817851657047868,1578.0,0.16109293745830655,0.2856327909976244,0.4020714999642223,0.4020714999642223,fixed,10,0.1,0,0.0,1.0
beam_negamax,0.7,10,0.4,0.8,12-8-6-4,,beam_negamax_d5_w12-8-6-4,5,0,0.8,9249,1.000053666997701,63.45,7.1,5.0,4901.0,0.0,348.8,0.9166666666666666,-0.02511984556913376,0.5951294667553156,5869.0,0.7284606458852068,1.0000367078464478,1.000053666997701,1.000053666997701,fixed,10,0.2,3,0.3,1.0
beam_negamax,0.8,10,0.5,0.9,16-12-8-4,,beam_negamax_d5_w16-12-8-4,5,0,0.6,10176,1.000061040977016,64.25,5.3,5.0,5988.3,0.0,348.8,0.675,0.09493790857959539,0.7151872209040449,6784.5,1.0000358959659934,1.0000557908788323,1.000061040977016,1.000061040977016,fixed,10,0.4,6,0.6,1.0
beam_negamax,0.7,10,0.2,1.0,8-6-4-2,,beam_negamax_d5_w8-6-4-2,5,0,0.9,1400,0.20394258317537606,128.5,5.7,5.0,738.3,0.0,348.8,1.0,-0.5298522830707952,0.09039702925365418,918.0,0.09657891653478146,0.14876554207876325,0.20394258317537606,0.20394258317537606,fixed,10,0.1,0,0.0,0.9
beam_negamax,0.5,10,0.2,0.6,12-8-4-2,,beam_negamax_d6_w12-8-4-2,6,0,0.8,4717,1.0000435831025243,200679.94839160837,7.8,6.0,2591.6,0.0,348.8,0.975,-0.38922122069634496,0.3823896209243685,3306.0,0.4361958544468507,0.6187547501176596,1.0000435831025243,1.0000435831025243,fixed,10,0.2,1,0.1,1.0
beam_negamax,0.6,10,0.3,0.6,12-8-6-4,,beam_negamax_d6_w12-8-6-4,6,0,0.4,14722,1.0000931660179049,100035.6,3.4,6.0,7972.1,0.0,348.8,0.6083333333333333,0.01608583757188171,0.7876966791925952,8224.5,1.0000348124885932,1.000081041129306,1.0000931660179049,1.0000931660179049,fixed,10,0.6,6,0.6,1.0
beam_negamax,0.6,10,0.3,0.5,16-12-8-4,,beam_negamax_d6_w16-12-8-4,6,0,0.1,8929,1.0001488339621574,100255.95,1.6,6.0,6825.5,0.0,348.8,0.32916666666666666,0.21022366685792804,0.9818345084786415,7004.0,1.000062374980189,1.0001408329699188,1.0001488339621574,1.0001488339621574,fixed,10,0.9,8,0.8,1.0
beam_negamax,0.6,10,0.2,0.7,8-6-4-2,,beam_negamax_d6_w8-6-4-2,6,0,0.9,2936,0.5740531671326607,100445.275,5.7,6.0,1461.4,0.0,348.8,1.0,-0.5385752498172224,0.23303559180349112,1790.5,0.2384750209748745,0.4902053331024945,0.5740531671326607,0.5740531671326607,fixed,10,0.1,0,0.0,1.0
beam_negamax,0.0,0,0.0,0.7,8-6-4-2,,beam_negamax_d7_w8-6-4-2,7,0,,4057,1.0056102499365807,,4.6,7.0,2131.4,0.0,348.8,0.8625,,0.445987587608397,1929.5,0.33367370849009603,1.0000682920217514,1.0056102499365807,1.0056102499365807,fixed,10,,2,0.2,0.0
pvs,0.9,10,0.9,0.6,,12,pvs_d5_b12,5,0,1.0,6276,1.000031832838431,1.8,7.6,5.0,1999.0,0.008582736239335375,348.8,0.9583333333333334,-0.21963569985236972,0.3017225208459422,1303.5,0.19173349998891354,0.6194293750450015,1.000031832838431,1.000031832838431,fixed,10,0.0,1,0.1,
pvs,0.9,10,0.9,0.7,,16,pvs_d5_b16,5,0,1.0,5446,1.000052916817367,3.0,9.1,5.0,2423.1,0.007204968649945459,348.8,0.9125,-0.2249875414185226,0.39526177090592685,1934.0,0.32434356259182096,0.7321398749481887,1.000052916817367,1.000052916817367,fixed,10,0.0,1,0.1,
pvs,0.9,10,0.9,1.0,,8,pvs_d5_b8,5,0,1.0,6742,1.0000297918450087,0.1,5.6,5.0,1421.3,0.016812061880705616,348.8,0.9875,-0.12512862482108175,0.18545864997431635,883.0,0.0888540834421292,0.24620883306488395,1.0000297918450087,1.0000297918450087,fixed,10,0.0,1,0.1,
pvs,1.0,10,1.0,0.7,,12,pvs_d6_b12,6,0,0.9,7046,1.000559916952625,0.0,5.2,6.0,3821.9,0.004332090622229818,348.8,0.675,-0.15737235418055207,0.6059043125715107,3694.5,0.5771470629842952,1.0000675830524415,1.000559916952625,1.000559916952625,fixed,10,0.1,4,0.4,
pvs,0.8,10,0.8,0.7,,16,pvs_d6_b16,6,0,0.4,8618,1.0001028331462294,3.25,6.8,6.0,5326.2,0.0031117710961269204,348.8,0.725,-0.10319568337872624,0.6684151582419873,6259.0,0.83892868750263,1.0000625001266599,1.0001028331462294,1.0001028331462294,fixed,10,0.6,4,0.4,
pvs,1.0,10,1.0,0.6,,8,pvs_d6_b8,6,0,0.9,6044,1.0000374168157578,0.0,5.1,6.0,2597.0,0.011198597217582597,348.8,0.925,-0.1473382835742086,0.42478892486542463,2183.0,0.2999293335014954,0.7572795408777893,1.0000374168157578,1.0000374168157578,fixed,10,0.1,1,0.1,
