config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,baseline_move_agreement_rate,alpha_beta_move_agreement_rate,alpha_beta_score_agreement_rate,alpha_beta_root_retention_rate
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,10,0.4678145708050579,0.3526714164763689,0.9607804589904845,1.0000686249695718,1.0000686249695718,1.0000686249695718,1,0.1,1654.5,1341.5,3575,5.0,348.8,7.2,0.925,0,0.0,0.6,1.0,1.0,
alpha_beta_d5_b16,alpha_beta,5,16,,fixed,10,0.608187337545678,0.5878430204465985,1.0001408751122653,1.0002089999616146,1.0002089999616146,1.0002089999616146,4,0.4,1995.3,2068.5,3438,5.0,348.8,7.9,0.8375,0,0.0,0.7,1.0,1.0,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,10,0.2808468458009884,0.21594293706584722,0.45526833389885724,1.000135000096634,1.000135000096634,1.000135000096634,1,0.1,1030.0,753.5,3622,5.0,348.8,5.4,0.9625,0,0.0,1.0,1.0,1.0,
alpha_beta_d6_b12,alpha_beta,6,12,,fixed,10,0.7841841539600864,1.0000819580163807,1.0002004159614444,1.000288249924779,1.000288249924779,1.000288249924779,6,0.6,2703.3,2948.5,4282,6.0,348.8,4.1,0.5833333333333333,0,0.0,0.7,1.0,1.0,
alpha_beta_d6_b16,alpha_beta,6,16,,fixed,10,0.848292529117316,1.0002665205392987,1.0454376658890396,1.0857349170837551,1.0857349170837551,1.0857349170837551,7,0.7,2531.9,3184.0,3668,6.0,348.8,4.2,0.475,0,0.0,0.7,1.0,1.0,
alpha_beta_d6_b8,alpha_beta,6,8,,fixed,10,0.5762643039692193,0.6343338125152513,1.0000700829550624,1.00018695788458,1.00018695788458,1.00018695788458,2,0.2,2179.9,2548.5,3728,6.0,348.8,4.9,0.9,0,0.0,0.6,1.0,1.0,
beam_negamax_d5_w12-8-4-2,beam_negamax,5,,12-8-4-2,fixed,10,0.44224268323741855,0.427794833551161,0.8757950409781188,0.9728877497836947,0.9728877497836947,0.9728877497836947,0,0.0,1365.9,1578.0,2796,5.0,348.8,8.1,1.0,0,0.0,0.8,0.7,0.2,1.0
beam_negamax_d5_w12-8-6-4,beam_negamax,5,,12-8-6-4,fixed,10,0.7856323417043314,1.0001284586032853,1.0016292920336127,1.0176193329971284,1.0176193329971284,1.0176193329971284,6,0.6,2129.7,2149.5,3792,5.0,348.8,3.1,0.5833333333333333,0,0.0,0.7,0.7,0.3,1.0
beam_negamax_d5_w16-12-8-4,beam_negamax,5,,16-12-8-4,fixed,10,0.8677259335061536,1.0000838335836306,1.0003061250317842,1.000850916840136,1.000850916840136,1.000850916840136,7,0.7,2703.8,2632.5,4700,5.0,348.8,2.4,0.45,0,0.0,0.7,0.7,0.4,1.0
beam_negamax_d5_w8-6-4-2,beam_negamax,5,,8-6-4-2,fixed,10,0.1895603623939678,0.18219808291178197,0.3313464159145951,0.4428324578329921,0.4428324578329921,0.4428324578329921,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,0.7,0.2,0.9
