config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.11091483314521611,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,adaptive_disabled,0,246,6852,0,0,0,0.0,{},0.00016399985179305077,0.020853809313848615,0.0018516597338020802,0.004282417008653283,0.018590617924928665,0.08121939073316753,0.006609491538256407,4.891608841717243e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04403212503530085,False,720,521,4069,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,142,3346,0,0,0,0.0,{},1.8330756574869156e-06,0.00976089434698224,0.0009386602323502302,1.1082971468567848e-05,0.010768786305561662,0.03046303754672408,0.002722259145230055,6.512599065899849e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09716212493367493,False,1204,809,7698,26,8,8,1.0,5,5,5,False,adaptive_disabled,0,277,6493,0,0,0,0.0,{},4.125060513615608e-06,0.01854519103653729,0.0017362383659929037,7.729209028184414e-05,0.02035353984683752,0.0722072315402329,0.004507478792220354,1.2457603588700294e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010502791963517666,False,191,124,970,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,27,779,0,0,0,0.0,{},1.3748649507761002e-06,0.002338668331503868,0.00023258151486516,9.58307646214962e-06,0.0025811600498855114,0.007164251059293747,0.0007309226784855127,1.5500234439969063e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.023649999871850014,False,462,205,3810,23,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,3348,0,0,0,0.0,{},3.4999102354049683e-06,0.009036047849804163,0.0008623618632555008,6.404099985957146e-05,0.009893196867778897,0.011968419421464205,0.0017107587773352861,1.0083895176649094e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.057437708135694265,False,774,557,5346,1678,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,4506,0,0,0,0.0,{},0.00016266689635813236,0.012478922260925174,0.0009911602828651667,0.004062083084136248,0.009493358433246613,0.04079308034852147,0.0029013941530138254,2.512522041797638e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.3207342498935759,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,adaptive_disabled,0,904,17629,0,0,0,0.0,{},4.417030140757561e-06,0.05337035027332604,0.005441812565550208,8.416688069701195e-05,0.05923738167621195,0.24363491963595152,0.017759906826540828,1.3457844033837318e-05,False,False
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.05428862478584051,False,888,619,4730,37,8,8,1.0,5,5,5,False,adaptive_disabled,0,145,3783,0,0,0,0.0,{},4.665926098823547e-06,0.011088722385466099,0.0010696575045585632,0.00010220799595117569,0.012156268348917365,0.03873428120277822,0.0032784915529191494,1.2709759175777435e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.04431870789267123,False,733,522,3949,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,145,3193,0,0,0,0.0,{},1.4158431440591812e-06,0.009353213012218475,0.000941071193665266,8.37491825222969e-06,0.010365985566750169,0.031166963977739215,0.0027143002953380346,6.166729144752026e-05,True,True
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0008257089648395777,False,23,6,224,3,3,3,1.0,5,5,5,False,adaptive_disabled,0,10,194,0,0,0,0.0,{},1.458916813135147e-06,0.0005342508666217327,5.2374787628650665e-05,1.2167030945420265e-05,0.0005817490164190531,0.00012987595982849598,8.295802399516106e-05,1.750001683831215e-05,True,True
