config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,max_depth_fixed_move_agreement_rate,max_depth_fixed_score_agreement_rate
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,10,0.07563846246339381,0.049720729468390346,0.10932416701689363,0.3112112919334322,0.3112112919334322,0.3112112919334322,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,0.9,0.9
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,10,0.07520809168927371,0.0504320414038375,0.1094655420165509,0.30885383393615484,0.30885383393615484,0.30885383393615484,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,0.9,0.9
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,10,0.0763866874622181,0.04930366633925587,0.11091483314521611,0.3207342498935759,0.3207342498935759,0.3207342498935759,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,0.9,0.9
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,10,0.0745890456950292,0.048538582981564105,0.10813454096205533,0.3075844591949135,0.3075844591949135,0.3075844591949135,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,0.9,0.9
beam_negamax_d6_w8-6-4-2__aggressive,beam_negamax,6,,8-6-4-2,aggressive,10,0.09467124154325575,0.09632335416972637,0.16437404206953943,0.2265453329309821,0.2265453329309821,0.2265453329309821,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__conservative,beam_negamax,6,,8-6-4-2,conservative,10,0.09676842084154487,0.0925119164166972,0.19642737484537065,0.2211691248230636,0.2211691248230636,0.2211691248230636,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,,8-6-4-2,fixed,10,0.09336827090010047,0.09160516655538231,0.16061745816841722,0.23421629192307591,0.23421629192307591,0.23421629192307591,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__standard,beam_negamax,6,,8-6-4-2,standard,10,0.09511505411937833,0.09431197948288172,0.18082983302883804,0.22438458306714892,0.22438458306714892,0.22438458306714892,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,1.0,1.0
pvs_d5_b8__aggressive,pvs,5,8,,aggressive,10,0.09891747918445618,0.052125083399005234,0.13725799997337162,0.49905020790174603,0.49905020790174603,0.49905020790174603,0,0.0,1450.5,883.0,7034,5.0,348.8,5.7,1.0,0,0.01674968578450989,1.0,1.0
pvs_d5_b8__conservative,pvs,5,8,,conservative,10,0.09867857079952955,0.052490417030639946,0.13520783302374184,0.4972799171227962,0.4972799171227962,0.4972799171227962,0,0.0,1450.5,883.0,7034,5.0,348.8,5.7,1.0,0,0.01674968578450989,1.0,1.0
pvs_d5_b8__fixed,pvs,5,8,,fixed,10,0.09810360413976013,0.052392062498256564,0.13706016703508794,0.4909786661155522,0.4909786661155522,0.4909786661155522,0,0.0,1450.5,883.0,7034,5.0,348.8,5.7,1.0,0,0.01674968578450989,1.0,1.0
pvs_d5_b8__standard,pvs,5,8,,standard,10,0.10443917082156987,0.052513479022309184,0.13824049988761544,0.5523321249056607,0.5523321249056607,0.5523321249056607,0,0.0,1450.5,883.0,7034,5.0,348.8,5.7,1.0,0,0.01674968578450989,1.0,1.0
