config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,baseline_move_agreement_rate,alpha_beta_move_agreement_rate,alpha_beta_score_agreement_rate,alpha_beta_reference_pair_count,faster_than_alpha_beta_rate,slower_than_alpha_beta_rate,mean_time_difference_from_alpha_beta_sec,mean_absolute_score_difference_from_alpha_beta,alpha_beta_root_retention_rate
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,10,0.521358220698312,0.4520874790614471,1.0001385828945786,1.000169833889231,1.000169833889231,1.000169833889231,2,0.2,1527.8,1341.5,3102,5.0,348.8,6.9,0.9,0,0.0,0.6,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d5_b16,alpha_beta,5,16,,fixed,10,0.6202493123244495,0.703488145605661,1.000159583054483,1.0001793329138309,1.0001793329138309,1.0001793329138309,5,0.5,1902.9,1897.0,3307,5.0,348.8,7.6,0.81875,0,0.0,0.7,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,10,0.3105872747953981,0.2197772499639541,0.480799000011757,1.000096958130598,1.000096958130598,1.000096958130598,1,0.1,974.8,753.5,3070,5.0,348.8,5.3,0.95,0,0.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b12,alpha_beta,6,12,,fixed,10,0.7632766667520627,0.9975906250765547,1.0002990840002894,1.0003363750874996,1.0003363750874996,1.0003363750874996,5,0.5,2900.1,3086.0,4324,6.0,348.8,4.5,0.6166666666666667,0,0.0,0.7,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b16,alpha_beta,6,16,,fixed,10,0.7716108416207135,0.8889082084642723,1.0000404580496252,1.0002070830669254,1.0002070830669254,1.0002070830669254,3,0.3,5564.9,6881.0,9803,6.0,348.8,7.7,0.825,0,0.0,0.6,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b8,alpha_beta,6,8,,fixed,10,0.5721272084396333,0.6240522710140795,1.0000708340667188,1.0025855000130832,1.0025855000130832,1.0025855000130832,2,0.2,2067.3,2548.5,3304,6.0,348.8,4.6,0.8625,0,0.0,0.6,1.0,1.0,10,0.0,0.0,0.0,0.0,
beam_negamax_d5_w12-8-4-2,beam_negamax,5,,12-8-4-2,fixed,10,0.15817851657047868,0.16109293745830655,0.2856327909976244,0.4020714999642223,0.4020714999642223,0.4020714999642223,0,0.0,1365.9,1578.0,2796,5.0,348.8,8.1,1.0,0,0.0,0.8,0.7,0.2,10,0.9,0.1,-0.46207079575397075,100317.625,1.0
beam_negamax_d5_w12-8-6-4,beam_negamax,5,,12-8-6-4,fixed,10,0.5951294667553156,0.7284606458852068,1.0000367078464478,1.000053666997701,1.000053666997701,1.000053666997701,3,0.3,4901.0,5869.0,9249,5.0,348.8,7.1,0.9166666666666666,0,0.0,0.8,0.7,0.4,10,0.8,0.2,-0.02511984556913376,63.45,1.0
beam_negamax_d5_w16-12-8-4,beam_negamax,5,,16-12-8-4,fixed,10,0.7151872209040449,1.0000358959659934,1.0000557908788323,1.000061040977016,1.000061040977016,1.000061040977016,6,0.6,5988.3,6784.5,10176,5.0,348.8,5.3,0.675,0,0.0,0.9,0.8,0.5,10,0.6,0.4,0.09493790857959539,64.25,1.0
beam_negamax_d5_w8-6-4-2,beam_negamax,5,,8-6-4-2,fixed,10,0.09039702925365418,0.09657891653478146,0.14876554207876325,0.20394258317537606,0.20394258317537606,0.20394258317537606,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,0.7,0.2,10,0.9,0.1,-0.5298522830707952,128.5,0.9
beam_negamax_d6_w12-8-4-2,beam_negamax,6,,12-8-4-2,fixed,10,0.3823896209243685,0.4361958544468507,0.6187547501176596,1.0000435831025243,1.0000435831025243,1.0000435831025243,1,0.1,2591.6,3306.0,4717,6.0,348.8,7.8,0.975,0,0.0,0.6,0.5,0.2,10,0.8,0.2,-0.38922122069634496,200679.94839160837,1.0
beam_negamax_d6_w12-8-6-4,beam_negamax,6,,12-8-6-4,fixed,10,0.7876966791925952,1.0000348124885932,1.000081041129306,1.0000931660179049,1.0000931660179049,1.0000931660179049,6,0.6,7972.1,8224.5,14722,6.0,348.8,3.4,0.6083333333333333,0,0.0,0.6,0.6,0.3,10,0.4,0.6,0.01608583757188171,100035.6,1.0
beam_negamax_d6_w16-12-8-4,beam_negamax,6,,16-12-8-4,fixed,10,0.9818345084786415,1.000062374980189,1.0001408329699188,1.0001488339621574,1.0001488339621574,1.0001488339621574,8,0.8,6825.5,7004.0,8929,6.0,348.8,1.6,0.32916666666666666,0,0.0,0.5,0.6,0.3,10,0.1,0.9,0.21022366685792804,100255.95,1.0
beam_negamax_d6_w8-6-4-2,beam_negamax,6,,8-6-4-2,fixed,10,0.23303559180349112,0.2384750209748745,0.4902053331024945,0.5740531671326607,0.5740531671326607,0.5740531671326607,0,0.0,1461.4,1790.5,2936,6.0,348.8,5.7,1.0,0,0.0,0.7,0.6,0.2,10,0.9,0.1,-0.5385752498172224,100445.275,1.0
