config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_early_t0,0,tuning,early,0,,5000,1686,normal,1→35,1,35,597.0,0.15026274998672307,True,499,384,3672,1686,3,0.0017793594306049821,5,5,5,False,adaptive_disabled,0,57,3158,0,0,0,0.0,{},0.003301209071651101,0.03892720956355333,0.00513878813944757,0.020722082816064358,0.023839872097596526,0.09297766699455678,0.009189960779622197,0.00023195822723209858,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_middle_t27,0,tuning,middle,27,,2,2,critical,63→63,63,63,827.0,0.1284992501605302,False,191,124,970,2,2,1.0,5,5,5,False,adaptive_disabled,0,27,779,0,0,0,0.0,{},1.100008375942707e-05,0.011015041265636683,0.0030253296718001366,0.00011245906352996826,0.014138211961835623,0.1073671670164913,0.006741245975717902,0.00012916605919599533,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_late_t49,0,tuning,late,49,,78,23,normal,11→28,11,28,999995.0,0.13565358403138816,False,462,205,3810,23,8,0.34782608695652173,5,5,5,False,adaptive_disabled,0,121,3348,0,0,0,0.0,{},1.7875107005238533e-05,0.0639893370680511,0.005839037010446191,0.0002268750686198473,0.07049683202058077,0.0558070030529052,0.009044080972671509,6.091780960559845e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_early_t0,1,tuning,early,0,,5000,1678,normal,13→35,13,35,758.5,0.15011433302424848,True,504,370,4199,1678,3,0.0017878426698450535,5,5,5,False,adaptive_disabled,0,75,3645,0,0,0,0.0,{},0.0008052908815443516,0.03656288073398173,0.003144404385238886,0.01701299985870719,0.02307254378683865,0.1017250376753509,0.007387876510620117,0.0001105843111872673,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_middle_t120,1,tuning,middle,120,,90,37,normal,9→20,9,20,667.0,0.15010133385658264,True,437,301,2494,37,2,0.05405405405405406,5,5,5,False,adaptive_disabled,0,83,2015,0,0,0,0.0,{},2.308306284248829e-05,0.031061339657753706,0.006495294161140919,0.00036225002259016037,0.03770375344902277,0.1024961315561086,0.009457864798605442,5.825096741318703e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_late_t236,1,tuning,late,236,,4,3,danger,35→63,35,63,-999996.0,0.007235375000163913,False,23,6,224,3,3,1.0,5,5,5,False,adaptive_disabled,0,10,194,0,0,0,0.0,{},9.750016033649445e-06,0.004966208012774587,0.001078917644917965,0.0019199170637875795,0.004177875351160765,0.000587749294936657,0.00042045931331813335,0.00011962396092712879,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_early_t0,0,tuning,early,0,,5000,1686,normal,1→35,1,35,597.0,0.1502416250295937,True,463,372,3290,1686,2,0.0011862396204033216,5,5,5,False,adaptive_disabled,0,46,2795,0,0,0,0.0,{},0.0005197499413043261,0.0302547465544194,0.0030089961364865303,0.016192707931622863,0.017445751698687673,0.10671845637261868,0.00915258377790451,0.0002123753074556589,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_middle_t27,0,tuning,middle,27,,2,2,critical,63→63,63,63,827.0,0.09890862507745624,False,367,264,1501,2,2,1.0,5,5,5,False,adaptive_disabled,0,40,1129,0,0,0,0.0,{},1.100008375942707e-05,0.011261497857049108,0.002099246485158801,8.320785127580166e-05,0.01353958947584033,0.07481499970890582,0.0103869519662112,7.28759914636612e-05,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_late_t49,0,tuning,late,49,,78,23,normal,11→58,11,58,797.0,0.15011204103939235,True,633,286,5516,23,2,0.08695652173913043,5,5,5,False,adaptive_disabled,0,173,4835,0,0,0,0.0,{},1.3625016435980797e-05,0.057240713154897094,0.00651020766235888,0.00019112508744001389,0.06481625000014901,0.072360870661214,0.012672254350036383,5.791592411696911e-05,False,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed1_early_t0,1,tuning,early,0,,5000,1678,normal,13→35,13,35,758.5,0.15008512511849403,True,491,385,3649,1678,3,0.0017878426698450535,5,5,5,False,adaptive_disabled,0,55,3098,0,0,0,0.0,{},0.0004630829207599163,0.03747329022735357,0.0034541678614914417,0.01972766686230898,0.021556414430961013,0.10022462951019406,0.008029330987483263,8.400040678679943e-05,True,alpha_beta_d5_b12,True,True,,
