config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,baseline_move_agreement_rate,alpha_beta_move_agreement_rate,alpha_beta_score_agreement_rate,alpha_beta_root_retention_rate
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,6,0.11746620138486226,0.1500985830789432,0.15196662512607872,0.15196662512607872,0.15196662512607872,0.15196662512607872,4,0.6666666666666666,426.1666666666667,477.0,633,5.0,571.5,2.3333333333333335,0.3573307763472388,0,0.0,0.8333333333333334,1.0,1.0,
alpha_beta_d5_b16,alpha_beta,5,16,,fixed,6,0.12131635433373351,0.15007250010967255,0.1501230418216437,0.1501230418216437,0.1501230418216437,0.1501230418216437,4,0.6666666666666666,453.5,481.0,699,5.0,571.5,1.6666666666666667,0.3338290137150414,0,0.0,0.8333333333333334,1.0,1.0,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,6,0.12031110434327275,0.1428774589439854,0.15026274998672307,0.15026274998672307,0.15026274998672307,0.15026274998672307,3,0.5,352.6666666666667,449.5,504,5.0,571.5,3.5,0.40090789051850434,0,0.0,1.0,1.0,1.0,
alpha_beta_d6_b12,alpha_beta,6,12,,fixed,6,0.12727824280348918,0.1502184789860621,0.15124608296900988,0.15124608296900988,0.15124608296900988,0.15124608296900988,5,0.8333333333333334,424.6666666666667,491.5,663,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.8333333333333334,1.0,1.0,
alpha_beta_d6_b16,alpha_beta,6,16,,fixed,6,0.1283506527543068,0.15018679201602936,0.15031220787204802,0.15031220787204802,0.15031220787204802,0.15031220787204802,5,0.8333333333333334,514.1666666666666,583.0,691,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.8333333333333334,1.0,1.0,
alpha_beta_d6_b8,alpha_beta,6,8,,fixed,6,0.1270254790239657,0.15010160394012928,0.15159541694447398,0.15159541694447398,0.15159541694447398,0.15159541694447398,5,0.8333333333333334,535.8333333333334,607.0,782,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.8333333333333334,1.0,1.0,
beam_negamax_d5_w12-8-4-2,beam_negamax,5,,12-8-4-2,fixed,6,0.12025672915236403,0.15011647890787572,0.15036458289250731,0.15036458289250731,0.15036458289250731,0.15036458289250731,4,0.6666666666666666,533.6666666666666,569.5,795,5.0,571.5,3.8333333333333335,0.38573245669074185,0,0.0,0.8333333333333334,1.0,0.3333333333333333,1.0
beam_negamax_d5_w12-8-6-4,beam_negamax,5,,12-8-6-4,fixed,6,0.15038068068679422,0.15020162507425994,0.15151720796711743,0.15151720796711743,0.15151720796711743,0.15151720796711743,6,1.0,615.8333333333334,617.5,852,5.0,571.5,0.8333333333333334,0.14799722249066707,0,0.0,0.8333333333333334,1.0,0.5,1.0
beam_negamax_d5_w16-12-8-4,beam_negamax,5,,16-12-8-4,fixed,6,0.1501095766434446,0.1501015623798594,0.15017312509007752,0.15017312509007752,0.15017312509007752,0.15017312509007752,6,1.0,726.8333333333334,727.5,844,5.0,571.5,0.8333333333333334,0.14799675119959818,0,0.0,0.8333333333333334,1.0,0.5,1.0
beam_negamax_d5_w8-6-4-2,beam_negamax,5,,8-6-4-2,fixed,6,0.11413483317786206,0.15006704139523208,0.15019608312286437,0.15019608312286437,0.15019608312286437,0.15019608312286437,4,0.6666666666666666,496.8333333333333,566.5,716,5.0,571.5,4.166666666666667,0.39748333800684055,0,0.0,1.0,0.8333333333333334,0.3333333333333333,1.0
beam_negamax_d6_w12-8-4-2,beam_negamax,6,,12-8-4-2,fixed,6,0.12828329174468914,0.1500834170728922,0.15064720809459686,0.15064720809459686,0.15064720809459686,0.15064720809459686,4,0.6666666666666666,601.3333333333334,568.0,766,6.0,571.5,2.3333333333333335,0.36173595625897415,0,0.0,0.6666666666666666,0.8333333333333334,0.16666666666666666,1.0
