agent,profile,position_count,lowered_depth_count,lowered_depth_rate,move_change_when_lowered_rate,previous_time_next_fixed_time_correlation,legal_edges_effective_depth_correlation,remaining_words_effective_depth_correlation,depth_change_count,depth_oscillation_count
alpha_beta,fixed,10,0,0.0,0.0,-0.11241268549853083,,,0,0
alpha_beta,conservative,10,3,0.3,0.3333333333333333,-0.06153829287371506,0.3287427703748615,0.3284666501420816,1,0
alpha_beta,standard,10,3,0.3,0.3333333333333333,-0.023716321746236967,0.3287427703748615,0.3284666501420816,1,0
alpha_beta,aggressive,10,3,0.3,0.3333333333333333,-0.010488153571043853,0.3287427703748615,0.3284666501420816,2,1
pvs,fixed,10,0,0.0,0.0,0.07180569089726124,,,0,0
pvs,conservative,10,8,0.8,0.375,0.5408517396155343,0.7865418531101198,0.7863879824189048,3,0
pvs,standard,10,7,0.7,0.2857142857142857,0.5679989983312186,0.6436422494270024,0.6438875387112996,3,0
pvs,aggressive,10,7,0.7,0.14285714285714285,0.32078260076289766,0.6876113582615798,0.6863691664445631,5,1
beam_negamax,fixed,10,0,0.0,0.0,-0.2804821121294178,,,0,0
beam_negamax,conservative,10,0,0.0,0.0,-0.18747931319471126,,,0,0
beam_negamax,standard,10,0,0.0,0.0,-0.25143836768889594,,,0,0
beam_negamax,aggressive,10,0,0.0,0.0,-0.32325081444507014,,,0,0
