agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.09273420623503625,0.015558615094050765,early,8,alpha_beta_d5_b8__fixed,246,5,5,5,adaptive_disabled,False,5,0.6228467500768602,35,0.4726857044734061,1288,1686,0.000842750072479248,1683,0,8542,0.00010487600229680538,seed0_early_t0,fixed,6852,0,0.09248941973783076,0.03926679166033864,5000,0,0.0,normal,1686,1.0,0.01745720813050866,597.0,0,1→35,8,0,tuning,1,False,0,True,True
alpha_beta,0,,{},8,0.056870836997404695,0.014344662427902222,few_legal,2,alpha_beta_d5_b8__fixed,142,5,5,5,adaptive_disabled,False,5,0.2951695420779288,32,0.19956499407999218,521,2,1.1875061318278313e-05,720,0,4069,0.0004167088773101568,seed0_few_legal_t6,fixed,3346,0,0.07194792362861335,0.02314891549758613,2,0,0.0,critical,2,1.0,7.91249331086874e-05,597.0,0,35→32,2,1,tuning,35,False,6,True,True
alpha_beta,0,,{},8,0.06836787052452564,0.011089740321040154,early_pruning,8,alpha_beta_d5_b8__fixed,277,5,5,5,adaptive_disabled,False,5,0.3970679589547217,60,0.2914490760304034,809,26,2.4416018277406693e-05,1204,0,7698,0.00020100176334381104,seed0_early_pruning_t17,fixed,6493,0,0.0808625747449696,0.024286057334393263,44,0,0.0,normal,26,1.0,0.0002448330633342266,797.0,0,28→60,8,2,tuning,28,False,17,True,True
alpha_beta,0,,{},8,0.013088375562801957,0.0015123782213777304,middle,2,alpha_beta_d5_b8__fixed,27,5,5,5,adaptive_disabled,False,5,0.08979087485931814,63,0.0647608288563788,124,2,1.708301715552807e-05,191,0,970,9.17930155992508e-05,seed0_middle_t27,fixed,779,0,0.014668288873508573,0.010091798147186637,2,0,0.0,critical,2,1.0,0.0001610829494893551,827.0,0,63→63,2,3,tuning,63,False,27,True,True
alpha_beta,0,,{},8,0.04942845134064555,0.012971574673429132,late,8,alpha_beta_d5_b8__fixed,121,5,5,5,adaptive_disabled,False,5,0.15872329100966454,28,0.08068420900963247,205,23,3.058300353586674e-05,462,0,3810,7.041590288281441e-05,seed0_late_t49,fixed,3348,0,0.0628723707050085,0.01454187836498022,78,0,0.0,normal,23,1.0,0.0005238340236246586,999995.0,0,11→28,8,4,tuning,11,False,49,True,True
alpha_beta,0,,{},8,0.054308167193084955,0.008695738157257438,early,8,alpha_beta_d5_b8__fixed,121,5,5,5,adaptive_disabled,False,5,0.23373979097232223,35,0.15320113068446517,557,1678,0.0007872499991208315,774,0,5346,0.00011854083277285099,seed1_early_t0,fixed,4506,0,0.04061474627815187,0.015913915121927857,5000,0,0.0,normal,1678,1.0,0.023104208055883646,758.5,1,13→35,8,0,tuning,13,False,0,True,True
alpha_beta,0,,{},8,0.15946986712515354,0.028632281348109245,early_pruning,4,alpha_beta_d5_b8__fixed,628,5,5,5,adaptive_disabled,False,5,1.0000780408736318,56,0.7426889862399548,2216,29,2.445909194648266e-05,3091,0,15507,5.458155646920204e-05,seed1_early_pruning_t75,fixed,12315,0,0.19138218113221228,0.06563366577029228,66,0,0.0,normal,29,0.5,0.00029416708275675774,787.0,1,2→56,8,1,tuning,2,True,75,False,False
alpha_beta,0,,{},8,0.047701662639155984,0.006051497301086783,middle,8,alpha_beta_d5_b8__fixed,145,5,5,5,adaptive_disabled,False,5,0.23244204092770815,49,0.1629348776768893,619,37,3.1833071261644363e-05,888,0,4730,6.629200652241707e-05,seed1_middle_t120,fixed,3783,0,0.05386904301121831,0.014951162273064256,90,0,0.0,normal,37,1.0,0.0005888328887522221,768.0,1,9→49,8,2,tuning,9,False,120,True,True
alpha_beta,0,,{},8,0.04113354464061558,0.006056085927411914,few_legal,2,alpha_beta_d5_b8__fixed,145,5,5,5,adaptive_disabled,False,5,0.18705029203556478,2,0.12771103787235916,522,2,1.7208047211170197e-05,733,0,3949,0.00019545992836356163,seed1_few_legal_t121,fixed,3193,0,0.0477053252980113,0.011366177815943956,4,0,0.0,critical,2,1.0,5.508307367563248e-05,667.0,1,20→2,2,3,tuning,20,False,121,True,True
alpha_beta,0,,{},8,0.002879624953493476,0.0003813330549746752,late,3,alpha_beta_d5_b8__fixed,10,5,5,5,adaptive_disabled,False,5,0.00492579210549593,63,0.0008657099679112434,6,3,1.4541903510689735e-05,23,0,224,9.225006215274334e-05,seed1_late_t236,fixed,194,0,0.0031809171196073294,0.0006317480001598597,4,0,0.0,danger,3,1.0,0.00014062505215406418,-999996.0,1,35→63,3,4,tuning,35,False,236,True,True
