config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,max_depth_fixed_move_agreement_rate,max_depth_fixed_score_agreement_rate
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,10,0.2593876664526761,0.1594207079615444,0.45988516602665186,1.0000724999699742,1.0000724999699742,1.0000724999699742,1,0.1,879.4,591.0,3235,4.7,348.8,5.4,0.9625,2,0.0,0.8,0.7
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,10,0.3448233706410974,0.21432685409672558,0.7941688338760287,1.000076707918197,1.000076707918197,1.000076707918197,1,0.1,815.5,591.0,2596,4.7,348.8,5.3,0.95,1,0.0,0.8,0.7
alpha_beta_d5_b8__fixed,alpha_beta,5,8,,fixed,10,0.32218343738932165,0.2330909159500152,0.6228467500768602,1.0000780408736318,1.0000780408736318,1.0000780408736318,1,0.1,976.9,753.5,3091,5.0,348.8,5.3,0.95,0,0.0,0.9,0.9
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,10,0.3062286832835525,0.1908890416380018,0.8114787500817329,1.0002931251656264,1.0002931251656264,1.0002931251656264,1,0.1,819.6,591.0,2637,4.7,348.8,5.3,0.95,1,0.0,0.8,0.7
beam_negamax_d5_w8-6-4-2__aggressive,beam_negamax,5,,8-6-4-2,aggressive,10,0.24521326688118278,0.27533764590043575,0.4572990839369595,0.5138026671484113,0.5138026671484113,0.5138026671484113,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d5_w8-6-4-2__conservative,beam_negamax,5,,8-6-4-2,conservative,10,0.22923971691634507,0.20847989642061293,0.44487679190933704,0.49618741706945,0.49618741706945,0.49618741706945,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d5_w8-6-4-2__fixed,beam_negamax,5,,8-6-4-2,fixed,10,0.22118364593479783,0.19245402107480913,0.33526487508788705,0.5890587500762194,0.5890587500762194,0.5890587500762194,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,1.0
beam_negamax_d5_w8-6-4-2__standard,beam_negamax,5,,8-6-4-2,standard,10,0.25825241648126396,0.2935953959822655,0.4373059580102563,0.4837845410220325,0.4837845410220325,0.4837845410220325,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,1.0
pvs_d6_b8__aggressive,pvs,6,8,,aggressive,10,0.477110466780141,0.3106820834800601,1.000156959053129,1.0002114579547197,1.0002114579547197,1.0002114579547197,4,0.4,1289.6,752.5,3378,4.8,348.8,4.4,0.8,5,0.022513818358991317,0.8,0.5
pvs_d6_b8__conservative,pvs,6,8,,conservative,10,0.43157921242527664,0.2898364164866507,1.000103750033304,1.0001328750513494,1.0001328750513494,1.0001328750513494,2,0.2,1123.3,700.5,3347,4.9,348.8,4.5,0.85,3,0.020403609271465267,0.7,0.4
pvs_d6_b8__fixed,pvs,6,8,,fixed,10,0.6741714168107137,0.6922010625712574,1.0008389581926167,1.0455384999513626,1.0455384999513626,1.0455384999513626,4,0.4,2079.9,1950.5,3758,6.0,348.8,4.3,0.7125,0,0.012012660986555734,0.9,0.8
pvs_d6_b8__standard,pvs,6,8,,standard,10,0.4579403332900256,0.3419571038102731,1.0002071249764413,1.000275667058304,1.000275667058304,1.000275667058304,3,0.3,1517.8,1136.5,3734,5.0,348.8,4.8,0.85,3,0.018323179475481528,0.7,0.4
