seat,target,agent,games,wins,losses,draws,win_rate,mean_time_sec,timeout_count
first,baseline_alpha_beta,alpha_beta,3,1,2,0,0.3333333333333333,0.2082835549884131,1
first,baseline_beam_negamax,beam_negamax,3,1,2,0,0.3333333333333333,0.19400485669958845,1
first,baseline_pvs,pvs,3,1,2,0,0.3333333333333333,0.1499897607810212,0
first,improved_adaptive_alpha_beta,alpha_beta,9,5,4,0,0.5555555555555556,0.1656513352170821,0
first,improved_adaptive_beam_negamax,beam_negamax,9,4,5,0,0.4444444444444444,0.19338095152996015,0
first,improved_adaptive_pvs,pvs,9,5,4,0,0.5555555555555556,0.2952076306091404,7
first,improved_fixed_alpha_beta,alpha_beta,6,2,4,0,0.3333333333333333,0.22970148926371492,2
first,improved_fixed_beam_negamax,beam_negamax,6,2,4,0,0.3333333333333333,0.18076932988294578,0
first,improved_fixed_pvs,pvs,6,2,4,0,0.3333333333333333,0.4301152914652766,23
second,baseline_alpha_beta,alpha_beta,3,3,0,0,1.0,0.23795824067066726,3
second,baseline_beam_negamax,beam_negamax,3,2,1,0,0.6666666666666666,0.1595501392886571,0
second,baseline_pvs,pvs,3,2,1,0,0.6666666666666666,0.21522223511041416,2
second,improved_adaptive_alpha_beta,alpha_beta,9,3,6,0,0.3333333333333333,0.1679842115971744,1
second,improved_adaptive_beam_negamax,beam_negamax,9,4,5,0,0.4444444444444444,0.16447413860974025,0
second,improved_adaptive_pvs,pvs,9,5,4,0,0.5555555555555556,0.290644080178503,11
second,improved_fixed_alpha_beta,alpha_beta,6,4,2,0,0.6666666666666666,0.17925149452595646,3
second,improved_fixed_beam_negamax,beam_negamax,6,4,2,0,0.6666666666666666,0.18563088168825959,0
second,improved_fixed_pvs,pvs,6,4,2,0,0.6666666666666666,0.3730912143211278,23
