agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},8,0.02075953222811222,0.001970578683540225,early,8,alpha_beta_d5_b8,246,5,5,5,adaptive_disabled,False,5,0.11074870894663036,35,0.08102791500277817,1288,1686,0.00016233394853770733,1683,0,8542,4.1499966755509377e-05,seed0_early_t0,fixed,6852,0,0.018715683603659272,0.006617734441533685,5000,0,0.0,normal,1686,1.0,0.004183541983366013,597.0,0,1→35,8,,tuning,1,False,0,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.002417960437014699,0.00025400263257324696,middle,2,alpha_beta_d5_b8,27,5,5,5,adaptive_disabled,False,5,0.011003291932865977,63,0.007506412919610739,124,2,1.8749851733446121e-06,191,0,970,2.0875828340649605e-05,seed0_middle_t27,fixed,779,0,0.002684165956452489,0.000777962151914835,2,0,0.0,critical,2,1.0,1.200009137392044e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.00918342312797904,0.0008737002499401569,late,8,alpha_beta_d5_b8,121,5,5,5,adaptive_disabled,False,5,0.02420408301986754,28,0.012263087090104818,205,23,4.249857738614082e-06,462,0,3810,1.1417083442211151e-05,seed0_late_t49,fixed,3348,0,0.010047730756923556,0.0018063071183860302,78,0,0.0,normal,23,1.0,7.12911132723093e-05,999995.0,0,11→28,8,,tuning,11,False,49,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.009801394306123257,0.0009607523679733276,few_legal,2,alpha_beta_d5_b8,142,5,5,5,adaptive_disabled,False,5,0.04454395780339837,32,0.030828577699139714,521,2,1.2079253792762756e-06,720,0,4069,5.541718564927578e-05,seed0_few_legal_t6,fixed,3346,0,0.010835155611857772,0.0028143085073679686,2,0,0.0,critical,2,1.0,9.290874004364014e-06,597.0,0,35→32,2,,tuning,35,False,6,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.018826161744073033,0.0018098731525242329,early_pruning,8,alpha_beta_d5_b8,277,5,5,5,adaptive_disabled,False,5,0.09922012500464916,60,0.0736496311146766,809,26,4.250090569257736e-06,1204,0,7698,1.2832926586270332e-05,seed0_early_pruning_t17,fixed,6493,0,0.02072005858644843,0.004757144255563617,44,0,0.0,normal,26,1.0,7.620803080499172e-05,797.0,0,28→60,8,,tuning,28,False,17,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.012914064340293407,0.0010139981750398874,early,8,alpha_beta_d5_b8,121,5,5,5,adaptive_disabled,False,5,0.05960500007495284,35,0.04232646804302931,557,1678,0.0001582079567015171,774,0,5346,2.700020559132099e-05,seed1_early_t0,fixed,4506,0,0.00987340067513287,0.003073215251788497,5000,0,0.0,normal,1678,1.0,0.004146707942709327,758.5,1,13→35,8,,tuning,13,False,0,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.01144249108619988,0.0011456694919615984,middle,8,alpha_beta_d5_b8,145,5,5,5,adaptive_disabled,False,5,0.05638412502594292,49,0.04011500300839543,619,37,5.749985575675964e-06,888,0,4730,1.5041325241327286e-05,seed1_middle_t120,fixed,3783,0,0.012591746170073748,0.00354870967566967,90,0,0.0,normal,37,1.0,0.00010787486098706722,768.0,1,9→49,8,,tuning,9,False,120,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.0005385021213442087,5.470798350870609e-05,late,3,alpha_beta_d5_b8,10,5,5,5,adaptive_disabled,False,5,0.0008401249069720507,63,0.00013312511146068573,6,3,1.8330756574869156e-06,23,0,224,1.950073055922985e-05,seed1_late_t236,fixed,194,0,0.0005870405584573746,8.491729386150837e-05,4,0,0.0,danger,3,1.0,1.3708136975765228e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.009534928016364574,0.0009410742204636335,few_legal,2,alpha_beta_d5_b8,145,5,5,5,adaptive_disabled,False,5,0.04525674995966256,2,0.03185628354549408,522,2,1.0828953236341476e-06,733,0,3949,6.187614053487778e-05,seed1_few_legal_t121,fixed,3193,0,0.010551485465839505,0.002778230933472514,4,0,0.0,critical,2,1.0,7.790978997945786e-06,667.0,1,20→2,2,,tuning,20,False,121,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.05253146984614432,0.005330411251634359,early_pruning,8,alpha_beta_d5_b8,904,5,5,5,adaptive_disabled,False,5,0.3151280421297997,12,0.24017887911759317,3158,29,3.917142748832703e-06,4420,0,22182,1.1708121746778488e-05,seed1_early_pruning_t75,fixed,17629,0,0.05829843715764582,0.01655622571706772,66,0,0.0,normal,29,1.0,7.887487299740314e-05,788.0,1,2→12,8,,tuning,2,False,75,True,alpha_beta_d5_b8,True,True,,
