config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,baseline_move_agreement_rate,alpha_beta_move_agreement_rate,alpha_beta_score_agreement_rate,alpha_beta_reference_pair_count,faster_than_alpha_beta_rate,slower_than_alpha_beta_rate,mean_time_difference_from_alpha_beta_sec,mean_absolute_score_difference_from_alpha_beta,alpha_beta_root_retention_rate
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,10,0.24498707486782223,0.15341947902925313,0.4641511249355972,0.8905732079874724,0.8905732079874724,0.8905732079874724,0,0.0,1945.7,1341.5,6487,5.0,348.8,8.1,1.0,0,0.0,0.6,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d5_b16,alpha_beta,5,16,,fixed,10,0.31887681677471846,0.2941614375449717,0.4352506250143051,1.0000242909882218,1.0000242909882218,1.0000242909882218,1,0.1,2664.6,2068.5,7830,5.0,348.8,9.8,0.95625,0,0.0,0.7,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,10,0.07669342088047415,0.05082043749280274,0.11074870894663036,0.3151280421297997,0.3151280421297997,0.3151280421297997,0,0.0,1109.8,753.5,4420,5.0,348.8,5.7,1.0,0,0.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b12,alpha_beta,6,12,,fixed,10,0.7695587417576462,1.0000592290889472,1.000169417122379,1.0007807090878487,1.0007807090878487,1.0007807090878487,6,0.6,2962.7,3251.5,4504,6.0,348.8,4.4,0.6083333333333333,0,0.0,0.7,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b16,alpha_beta,6,16,,fixed,10,0.8266146504087374,1.0000992295099422,1.000327416928485,1.00051608402282,1.00051608402282,1.00051608402282,7,0.7,2885.8,3388.0,3800,6.0,348.8,4.0,0.41875,0,0.0,0.7,1.0,1.0,10,0.0,0.0,0.0,0.0,
alpha_beta_d6_b8,alpha_beta,6,8,,fixed,10,0.32591399175580593,0.2801114789908752,0.5583550001028925,1.000735708978027,1.000735708978027,1.000735708978027,1,0.1,2185.1,2548.5,3991,6.0,348.8,5.1,0.925,0,0.0,0.6,1.0,1.0,10,0.0,0.0,0.0,0.0,
beam_negamax_d5_w12-8-4-2,beam_negamax,5,,12-8-4-2,fixed,10,0.3433334998786449,0.3721624375320971,0.7006113750394434,0.8123280419968069,0.8123280419968069,0.8123280419968069,0,0.0,1365.9,1578.0,2796,5.0,348.8,8.1,1.0,0,0.0,0.8,0.6,0.3,10,0.6,0.4,0.02445668310392648,100310.375,1.0
beam_negamax_d5_w12-8-6-4,beam_negamax,5,,12-8-6-4,fixed,10,0.7096773332450539,1.0000838339328766,1.0002127499319613,1.0003464580513537,1.0003464580513537,1.0003464580513537,6,0.6,3113.5,3852.0,5378,5.0,348.8,4.6,0.7083333333333333,0,0.0,0.9,0.7,0.5,10,0.0,1.0,0.3908005164703354,57.35,1.0
beam_negamax_d5_w16-12-8-4,beam_negamax,5,,16-12-8-4,fixed,10,0.8356472250074148,1.000076166470535,1.0002319170162082,1.0002897919621319,1.0002897919621319,1.0002897919621319,6,0.6,3414.1,3661.5,5105,5.0,348.8,3.1,0.5375,0,0.0,0.7,0.6,0.4,10,0.0,1.0,0.5167704082326964,100028.8,1.0
beam_negamax_d5_w8-6-4-2,beam_negamax,5,,8-6-4-2,fixed,10,0.174946374935098,0.18071952112950385,0.31115879211574793,0.42910345806740224,0.42910345806740224,0.42910345806740224,0,0.0,738.3,918.0,1400,5.0,348.8,5.7,1.0,0,0.0,1.0,0.6,0.3,10,0.8,0.2,-0.14393044183962048,121.25,0.8
beam_negamax_d6_w12-8-4-2,beam_negamax,6,,12-8-4-2,fixed,10,0.5709829834057019,0.7520931250182912,1.0001486667897552,1.0001598331145942,1.0001598331145942,1.0001598331145942,2,0.2,2348.8,3179.5,3773,6.0,348.8,7.2,0.925,0,0.0,0.6,0.5,0.2,10,0.7,0.3,-0.2556316670030355,200688.5983916084,1.0
beam_negamax_d6_w12-8-6-4,beam_negamax,6,,12-8-6-4,fixed,10,0.9468175334855914,1.0001869584666565,1.0003220830112696,1.0004971669986844,1.0004971669986844,1.0004971669986844,8,0.8,3295.5,3444.5,4393,6.0,348.8,1.5,0.3416666666666667,0,0.0,0.6,0.6,0.2,10,0.3,0.7,0.12020288307685405,200128.4,1.0
beam_negamax_d6_w16-12-8-4,beam_negamax,6,,16-12-8-4,fixed,10,1.0002209166297689,1.0001642081188038,1.0004152078181505,1.0005855420604348,1.0005855420604348,1.0005855420604348,10,1.0,3995.8,4227.0,4923,6.0,348.8,0.9,0.12708333333333333,0,0.0,0.6,0.8,0.4,10,0.3,0.7,0.17360626622103154,100165.05,1.0
beam_negamax_d6_w8-6-4-2,beam_negamax,6,,8-6-4-2,fixed,10,0.40934520387090745,0.3899268335662782,0.6687739579938352,1.0024179578758776,1.0024179578758776,1.0024179578758776,1,0.1,1389.5,1790.5,2265,6.0,348.8,5.5,0.975,0,0.0,0.8,0.5,0.2,10,0.8,0.2,-0.41726944653782994,100511.075,1.0
pvs_d5_b12,pvs,5,12,,fixed,10,0.44397447935771195,0.32207222911529243,0.9541313340887427,1.000099791912362,1.000099791912362,1.000099791912362,1,0.1,1728.8,1303.5,3574,5.0,348.8,7.1,0.9166666666666666,0,0.009074876794776528,0.6,0.9,0.9,10,0.0,1.0,0.19898740448988975,4.25,
pvs_d5_b16,pvs,5,16,,fixed,10,0.5310845916159451,0.4679192710900679,1.000105916056782,1.0001167918089777,1.0001167918089777,1.0001167918089777,3,0.3,1961.0,1934.0,3631,5.0,348.8,7.7,0.825,0,0.00812361479117845,0.7,0.7,0.7,10,0.0,1.0,0.21220777484122663,100084.35,
pvs_d5_b8,pvs,5,8,,fixed,10,0.2833813706878573,0.19415383343584836,0.48056687507778406,1.000152749940753,1.000152749940753,1.000152749940753,1,0.1,1179.9,883.0,4328,5.0,348.8,5.2,0.9375,0,0.01724809819377151,1.0,0.9,0.9,10,0.0,1.0,0.20668794980738311,1.0,
pvs_d6_b12,pvs,6,12,,fixed,10,0.732134445826523,0.9183360210154206,1.0000841249711812,1.0001701670698822,1.0001701670698822,1.0001701670698822,5,0.5,2792.3,3163.0,4093,6.0,348.8,4.7,0.6333333333333333,0,0.004680254264313057,0.7,1.0,1.0,10,0.6,0.4,-0.037424295931123196,0.0,
pvs_d6_b16,pvs,6,16,,fixed,10,0.8213710250565782,1.0001071458682418,1.00035170908086,1.0011436671484262,1.0011436671484262,1.0011436671484262,7,0.7,2923.5,3278.0,4183,6.0,348.8,4.1,0.46875,0,0.004159469328838565,0.7,0.9,0.8,10,0.5,0.5,-0.005243625352159142,75.7,
pvs_d6_b8,pvs,6,8,,fixed,10,0.5871757539920509,0.6343483960954472,0.9723574579693377,1.000064707826823,1.000064707826823,1.000064707826823,1,0.1,2358.9,2183.0,3796,6.0,348.8,5.0,0.9125,0,0.01082290821035455,0.6,0.9,0.9,10,0.1,0.9,0.261261762236245,99919.65,
