exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
,alpha_beta,0.23179143846399433,baseline_alpha_beta,0,False,no_legal_move,D5000_seed0_baseline_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.20543358713092114,improved_fixed_alpha_beta,0,0,45,first
,beam_negamax,0.21616632824368548,baseline_beam_negamax,0,False,no_legal_move,D5000_seed0_baseline_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.17014601173286792,improved_fixed_beam_negamax,0,0,65,first
,pvs,0.23028534130515674,baseline_pvs,0,False,no_legal_move,D5000_seed0_baseline_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.44554564998485147,improved_fixed_pvs,4,0,51,first
,alpha_beta,0.20302855445501897,improved_adaptive_alpha_beta,0,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.20873235153965652,improved_adaptive_beam_negamax,0,0,51,first
,alpha_beta,0.16614410752851155,improved_adaptive_alpha_beta,0,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.269939458283085,improved_adaptive_pvs,1,0,62,second
,alpha_beta,0.21606624097077418,improved_adaptive_alpha_beta,0,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.18725763625380668,improved_fixed_alpha_beta,0,0,45,first
,beam_negamax,0.25219695519276514,improved_adaptive_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.20247998915578205,improved_adaptive_alpha_beta,0,0,54,second
,beam_negamax,0.4097163040656596,improved_adaptive_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.38730275925869745,improved_adaptive_pvs,1,0,19,first
,beam_negamax,0.27452978282235563,improved_adaptive_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.22112428255059058,improved_fixed_beam_negamax,0,0,65,first
,pvs,0.3197451853915921,improved_adaptive_pvs,0,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.1815054880405244,improved_adaptive_alpha_beta,0,0,57,first
,pvs,0.3940088240779005,improved_adaptive_pvs,1,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.31834649656795794,improved_adaptive_beam_negamax,0,0,72,second
,pvs,0.22922668704209295,improved_adaptive_pvs,0,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.2825068817473948,improved_fixed_pvs,3,0,74,second
,alpha_beta,0.5531136342324317,improved_fixed_alpha_beta,2,False,no_legal_move,D5000_seed0_improved_fixed_alpha_beta_vs_baseline_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.4704891713077409,baseline_alpha_beta,2,0,18,second
,alpha_beta,0.3136177561725216,improved_fixed_alpha_beta,0,False,no_legal_move,D5000_seed0_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.2465215088503266,improved_adaptive_alpha_beta,1,0,67,first
,beam_negamax,0.25359697485427285,improved_fixed_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_fixed_beam_negamax_vs_baseline_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.21212491654296173,baseline_beam_negamax,0,0,65,first
,beam_negamax,0.25588182592764497,improved_fixed_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.20563151942042168,improved_adaptive_beam_negamax,0,0,65,first
,pvs,0.26119713788816273,improved_fixed_pvs,0,False,no_legal_move,D5000_seed0_improved_fixed_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.1319258077374588,baseline_pvs,0,0,52,second
,pvs,0.28546060259955436,improved_fixed_pvs,1,False,no_legal_move,D5000_seed0_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.253393379971385,improved_adaptive_pvs,1,0,51,first
,alpha_beta,0.21882794865900101,baseline_alpha_beta,1,False,ended_with_n,D5000_seed1_baseline_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.2532146381709026,improved_fixed_alpha_beta,2,1,33,second
,beam_negamax,0.1778151793172583,baseline_beam_negamax,0,False,ended_with_n,D5000_seed1_baseline_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.19540982668925272,improved_fixed_beam_negamax,0,1,39,second
,pvs,0.10854839791456963,baseline_pvs,0,False,ended_with_n,D5000_seed1_baseline_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.3317580292136687,improved_fixed_pvs,7,1,235,second
