config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate
alpha_beta_d6_b16__aggressive,alpha_beta,6,16,,aggressive,6,0.12842660412813225,0.15014477097429335,0.1543669579550624,0.1543669579550624,0.1543669579550624,0.1543669579550624,5,0.8333333333333334,247.66666666666666,229.5,435,5.0,571.5,0.5,0.16666666666666666,4,0.0
alpha_beta_d6_b16__conservative,alpha_beta,6,16,,conservative,6,0.12445259001106024,0.15010395797435194,0.1502583329565823,0.1502583329565823,0.1502583329565823,0.1502583329565823,4,0.6666666666666666,350.8333333333333,406.0,516,5.0,571.5,3.3333333333333335,0.4166666666666667,4,0.0
alpha_beta_d6_b16__fixed,alpha_beta,6,16,,fixed,6,0.13205028480539718,0.15014129201881588,0.15080404188483953,0.15080404188483953,0.15080404188483953,0.15080404188483953,5,0.8333333333333334,463.3333333333333,493.5,698,6.0,571.5,0.6666666666666666,0.25,0,0.0
alpha_beta_d6_b16__standard,alpha_beta,6,16,,standard,6,0.12190727121196687,0.1500867090653628,0.1517363339662552,0.1517363339662552,0.1517363339662552,0.1517363339662552,4,0.6666666666666666,453.0,479.0,776,5.166666666666667,571.5,1.1666666666666667,0.3541666666666667,4,0.0
beam_negamax_d6_w12-8-6-4__aggressive,beam_negamax,6,,12-8-6-4,aggressive,6,0.13973915320821106,0.1500904584536329,0.15048695914447308,0.15048695914447308,0.15048695914447308,0.15048695914447308,5,0.8333333333333334,602.0,641.0,718,5.0,571.5,1.5,0.3194444444444445,4,0.0
beam_negamax_d6_w12-8-6-4__conservative,beam_negamax,6,,12-8-6-4,conservative,6,0.13904259008510658,0.150079624960199,0.1502124578692019,0.1502124578692019,0.1502124578692019,0.1502124578692019,5,0.8333333333333334,569.5,579.5,699,5.0,571.5,1.5,0.3194444444444445,4,0.0
beam_negamax_d6_w12-8-6-4__fixed,beam_negamax,6,,12-8-6-4,fixed,6,0.1501683748404806,0.1501336245564744,0.15033820807002485,0.15033820807002485,0.15033820807002485,0.15033820807002485,6,1.0,591.5,650.5,750,6.0,571.5,0.5,0.15277777777777776,0,0.0
beam_negamax_d6_w12-8-6-4__standard,beam_negamax,6,,12-8-6-4,standard,6,0.13849209035591534,0.15010172955226153,0.15018833288922906,0.15018833288922906,0.15018833288922906,0.15018833288922906,5,0.8333333333333334,567.0,562.0,738,5.0,571.5,1.5,0.3194444444444445,4,0.0
pvs_d6_b16__aggressive,pvs,6,16,,aggressive,6,0.12474150680160771,0.15017637505661696,0.15024162479676306,0.15024162479676306,0.15024162479676306,0.15024162479676306,4,0.6666666666666666,392.8333333333333,436.5,665,5.166666666666667,571.5,0.8333333333333334,0.3333333333333333,4,0.01153823327614755
pvs_d6_b16__conservative,pvs,6,16,,conservative,6,0.11874300004759182,0.15009618748445064,0.15017504105344415,0.15017504105344415,0.15017504105344415,0.15017504105344415,4,0.6666666666666666,439.5,492.5,659,5.166666666666667,571.5,0.8333333333333334,0.3333333333333333,4,0.012436105773408763
pvs_d6_b16__fixed,pvs,6,16,,fixed,6,0.13230497956586382,0.15021922963205725,0.1581857919227332,0.1581857919227332,0.1581857919227332,0.1581857919227332,5,0.8333333333333334,355.6666666666667,383.5,637,6.0,571.5,0.5,0.16666666666666666,0,0.012763608940079529
pvs_d6_b16__standard,pvs,6,16,,standard,6,0.12595521530602127,0.1501515625277534,0.17750462493859231,0.17750462493859231,0.17750462493859231,0.17750462493859231,4,0.6666666666666666,429.5,463.5,693,5.166666666666667,571.5,0.8333333333333334,0.3333333333333333,4,0.013155950808539945
