config_id,agent,depth,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,baseline_move_agreement_rate,alpha_beta_move_agreement_rate,alpha_beta_score_agreement_rate,alpha_beta_root_retention_rate
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,6,0.11448651385338356,0.15009772905614227,0.15017208294011652,0.15017208294011652,0.15017208294011652,0.15017208294011652,4,0.6666666666666666,435.5,472.5,731,5.0,571.5,2.8333333333333335,0.5,0,0.0,0.6666666666666666,1.0,1.0,
alpha_beta_d5_b16,alpha_beta,5,16,,fixed,6,0.12419119434586416,0.15011058351956308,0.15020733303390443,0.15020733303390443,0.15020733303390443,0.15020733303390443,4,0.6666666666666666,441.0,499.5,587,5.0,571.5,1.6666666666666667,0.3854166666666667,0,0.0,0.6666666666666666,1.0,1.0,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,6,0.09639499984526385,0.1162330835359171,0.1502290409989655,0.1502290409989655,0.1502290409989655,0.1502290409989655,3,0.5,403.6666666666667,485.0,675,5.0,571.5,4.0,0.7291666666666666,0,0.0,1.0,1.0,1.0,
alpha_beta_d6_b12,alpha_beta,6,12,,fixed,6,0.13065418034481505,0.1501467915950343,0.15221054200083017,0.15221054200083017,0.15221054200083017,0.15221054200083017,5,0.8333333333333334,452.8333333333333,497.0,673,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.6666666666666666,1.0,1.0,
alpha_beta_d6_b16,alpha_beta,6,16,,fixed,6,0.12869174301158637,0.15007672901265323,0.15021970798261464,0.15021970798261464,0.15021970798261464,0.15021970798261464,5,0.8333333333333334,395.1666666666667,427.5,689,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.6666666666666666,1.0,1.0,
alpha_beta_d6_b8,alpha_beta,6,8,,fixed,6,0.14060093055013567,0.1505966039840132,0.2208643751218915,0.2208643751218915,0.2208643751218915,0.2208643751218915,5,0.8333333333333334,424.5,401.5,682,6.0,571.5,0.6666666666666666,0.25,0,0.0,0.6666666666666666,1.0,1.0,
beam_negamax_d5_w12-8-4-2,beam_negamax,5,,12-8-4-2,fixed,6,0.11638424301054329,0.150094416574575,0.15016733389347792,0.15016733389347792,0.15016733389347792,0.15016733389347792,4,0.6666666666666666,533.6666666666666,601.0,767,5.0,571.5,4.0,0.5972222222222222,0,0.0,0.8333333333333334,1.0,0.3333333333333333,1.0
beam_negamax_d5_w12-8-6-4,beam_negamax,5,,12-8-6-4,fixed,6,0.1501776527535791,0.15014204161707312,0.15044920798391104,0.15044920798391104,0.15044920798391104,0.15044920798391104,6,1.0,622.5,649.5,817,5.0,571.5,1.0,0.23611111111111108,0,0.0,0.8333333333333334,1.0,0.5,1.0
beam_negamax_d5_w16-12-8-4,beam_negamax,5,,16-12-8-4,fixed,6,0.15013953480714312,0.15011964598670602,0.1502488749101758,0.1502488749101758,0.1502488749101758,0.1502488749101758,6,1.0,651.0,657.5,769,5.0,571.5,1.0,0.18055555555555555,0,0.0,0.8333333333333334,1.0,0.6666666666666666,1.0
beam_negamax_d5_w8-6-4-2,beam_negamax,5,,8-6-4-2,fixed,6,0.11585215979721397,0.15014614595565945,0.1563491248525679,0.1563491248525679,0.1563491248525679,0.1563491248525679,4,0.6666666666666666,483.8333333333333,480.0,802,5.0,571.5,4.166666666666667,0.75,0,0.0,1.0,0.8333333333333334,0.3333333333333333,1.0
beam_negamax_d6_w12-8-4-2,beam_negamax,6,,12-8-4-2,fixed,6,0.13012227101717144,0.1501105419592932,0.1505140420049429,0.1505140420049429,0.1505140420049429,0.1505140420049429,4,0.6666666666666666,507.1666666666667,484.5,722,6.0,571.5,2.1666666666666665,0.4444444444444444,0,0.0,0.6666666666666666,0.8333333333333334,0.16666666666666666,1.0
beam_negamax_d6_w12-8-6-4,beam_negamax,6,,12-8-6-4,fixed,6,0.15013410414879522,0.15010237495880574,0.15023645805194974,0.15023645805194974,0.15023645805194974,0.15023645805194974,6,1.0,615.6666666666666,612.5,805,6.0,571.5,0.5,0.15277777777777776,0,0.0,0.8333333333333334,1.0,0.6666666666666666,1.0
beam_negamax_d6_w16-12-8-4,beam_negamax,6,,16-12-8-4,fixed,6,0.15017483336851,0.1501290415180847,0.15044933301396668,0.15044933301396668,0.15044933301396668,0.15044933301396668,6,1.0,690.8333333333334,663.5,928,6.0,571.5,0.5,0.14930555555555555,0,0.0,0.8333333333333334,1.0,0.6666666666666666,1.0
beam_negamax_d6_w8-6-4-2,beam_negamax,6,,8-6-4-2,fixed,6,0.12136624997947365,0.15015385439619422,0.15051508299075067,0.15051508299075067,0.15051508299075067,0.15051508299075067,4,0.6666666666666666,577.5,585.5,815,6.0,571.5,2.8333333333333335,0.5833333333333334,0,0.0,0.6666666666666666,0.8333333333333334,0.16666666666666666,1.0
