exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
,alpha_beta,0.0877862498940279,baseline_alpha_beta,4,False,no_legal_move,D5000_seed0_baseline_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.11198463435802194,improved_adaptive_alpha_beta,4,0,18,second
,beam_negamax,0.15012811250053346,baseline_beam_negamax,10,False,no_legal_move,D5000_seed0_baseline_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.13317994444838,improved_adaptive_beam_negamax,7,0,19,first
,pvs,0.08630137507700258,baseline_pvs,4,False,no_legal_move,D5000_seed0_baseline_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.11756288901799256,improved_adaptive_pvs,4,0,18,second
,alpha_beta,0.13121097773934404,improved_adaptive_alpha_beta,10,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_baseline_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.1365180655016697,baseline_alpha_beta,11,0,29,first
,alpha_beta,0.1207239211588684,improved_adaptive_alpha_beta,5,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.1677650973562979,improved_adaptive_beam_negamax,9,0,18,second
,alpha_beta,0.13506771877291612,improved_adaptive_alpha_beta,13,False,no_legal_move,D5000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.13430988897259036,improved_adaptive_pvs,12,0,31,first
,beam_negamax,0.1390667993744666,improved_adaptive_beam_negamax,9,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_baseline_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.1506892878308215,baseline_beam_negamax,11,0,22,second
,beam_negamax,0.1327207594489058,improved_adaptive_beam_negamax,7,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.1104437037008918,improved_adaptive_alpha_beta,4,0,18,second
,beam_negamax,0.13556469433630505,improved_adaptive_beam_negamax,7,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.11770574989107747,improved_adaptive_pvs,4,0,18,second
,beam_negamax,0.13760074075414902,improved_adaptive_beam_negamax,7,False,no_legal_move,D5000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.1169764721352193,improved_adaptive_pvs,4,0,18,second
,pvs,0.12571433333990475,improved_adaptive_pvs,7,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.12086578230890963,baseline_pvs,5,0,18,second
,pvs,0.12523021761121023,improved_adaptive_pvs,6,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.11743315730968283,baseline_pvs,6,0,18,second
,pvs,0.12452375467142297,improved_adaptive_pvs,7,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.1125042406686892,improved_adaptive_alpha_beta,3,0,18,second
,pvs,0.12489729167686568,improved_adaptive_pvs,6,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,alpha_beta,0.11385137965488765,improved_adaptive_alpha_beta,3,0,18,second
,pvs,0.12506201840005815,improved_adaptive_pvs,6,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.1501264721931269,improved_adaptive_beam_negamax,9,0,18,second
,pvs,0.12596794445481566,improved_adaptive_pvs,7,False,no_legal_move,D5000_seed0_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.15015547228459683,improved_adaptive_beam_negamax,9,0,18,second
