config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,max_depth_fixed_move_agreement_rate,max_depth_fixed_score_agreement_rate
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,10,0.4102042874787003,0.35228043771348894,0.6729392500128597,0.71589474985376,0.71589474985376,0.71589474985376,0,0.0,3375.5,2427.5,6392,5.3,758.2,8.0,1.0,4,0.0,0.7,0.7
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,10,0.14850459999870508,0.05550731252878904,0.31412633298896253,0.35881616710685194,0.35881616710685194,0.35881616710685194,0,0.0,1274.6,526.5,3270,4.4,758.2,8.0,1.0,6,0.0,0.4,0.4
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,10,0.2744808917166665,0.25951829203404486,0.33454641606658697,0.3647030829451978,0.3647030829451978,0.3647030829451978,0,0.0,2348.4,2284.0,3270,5.0,758.2,8.0,1.0,0,0.0,1.0,1.0
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,10,0.2768743624910712,0.26936066651251167,0.3219786249101162,0.3790378749836236,0.3790378749836236,0.3790378749836236,0,0.0,2348.4,2284.0,3270,5.0,758.2,8.0,1.0,1,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__aggressive,beam_negamax,6,6,8,0.6,,8-6-4-2,aggressive,10,0.4247341208392754,0.5243471876019612,0.5452903339173645,0.5483342499937862,0.5483342499937862,0.5483342499937862,0,0.0,4779.2,6008.0,6008,6.6,758.2,8.0,1.0,2,0.0,0.5,0.4
beam_negamax_d6_w8-6-4-2__conservative,beam_negamax,6,6,7,0.25,,8-6-4-2,conservative,10,0.1558731082128361,0.12233597901649773,0.2791706658899784,0.316854250151664,0.316854250151664,0.316854250151664,0,0.0,1707.2,1400.0,2936,5.2,758.2,8.0,1.0,2,0.0,0.2,0.2
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,10,0.2660816540243104,0.2604627915425226,0.2817068330477923,0.30875545809976757,0.30875545809976757,0.30875545809976757,0,0.0,2936.0,2936.0,2936,6.0,758.2,8.0,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__standard,beam_negamax,6,6,8,0.4,,8-6-4-2,standard,10,0.23773114990908653,0.238440457964316,0.2776342500001192,0.3707064581103623,0.3707064581103623,0.3707064581103623,0,0.0,2475.2,2936.0,2936,5.7,758.2,8.0,1.0,2,0.0,0.7,0.7
pvs_d5_b8__aggressive,pvs,5,5,7,0.6,8,,aggressive,10,0.3288921164814383,0.23489495809189975,0.6554250000044703,0.6978850420564413,0.6978850420564413,0.6978850420564413,0,0.0,2977.8,2204.5,6442,5.3,758.2,8.0,1.0,5,0.006969192730720479,0.7,0.7
pvs_d5_b8__conservative,pvs,5,5,6,0.25,8,,conservative,10,0.1342759002931416,0.15605368791148067,0.2296377089805901,0.23946141707710922,0.23946141707710922,0.23946141707710922,0,0.0,1234.1,1330.0,2283,4.6,758.2,8.0,1.0,3,0.0103312584305047,0.7,0.6
pvs_d5_b8__fixed,pvs,5,5,5,1.0,8,,fixed,10,0.19487316643353553,0.16003333358094096,0.2582464579027146,0.2896382911130786,0.2896382911130786,0.2896382911130786,0,0.0,1743.3,1527.0,2519,5.0,758.2,8.0,1.0,0,0.007249704722537968,1.0,1.0
pvs_d5_b8__standard,pvs,5,5,7,0.4,8,,standard,10,0.21067930820863695,0.17845402099192142,0.2682297909632325,0.42274808301590383,0.42274808301590383,0.42274808301590383,0,0.0,1942.5,1527.0,4118,5.1,758.2,8.0,1.0,3,0.007191006896213213,0.9,0.9
