agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn
alpha_beta,0,,{},8,0.05433495785109699,0.004255582811310887,early,8,alpha_beta_d5_b8,275,5,5,5,adaptive_disabled,False,5,0.27574562514200807,0.27574562514200807,20,5,0.20143361063674092,1764,3622,0.0011212080717086792,5,2268,0,22664,5.129189230501652e-05,seed0_early_t0,fixed,20396,0,0.04967446718364954,0.014326672302559018,50000,0,0.0,normal,3622,1.0,0.00913837505504489,2361.0,0,20→20,8,,tuning,20,0.27574562514200807,1.0,False,0
alpha_beta,0,,{},8,0.046719207195565104,0.0038876249454915524,middle,8,alpha_beta_d5_b8,304,5,5,5,adaptive_disabled,False,5,0.2549435410182923,0.2549435410182923,46,5,0.19066666159778833,1764,28,5.124835297465324e-06,5,2269,0,19569,1.879129558801651e-05,seed0_middle_t27,fixed,17300,0,0.05072995787486434,0.013433922547847033,111,0,0.0,normal,28,1.0,8.908286690711975e-05,2231.0,0,63→46,8,,tuning,63,0.2549435410182923,1.0,False,27
alpha_beta,0,,{},8,0.06500938604585826,0.005405600648373365,late,8,alpha_beta_d5_b8,411,5,5,5,adaptive_disabled,False,5,0.37053387495689094,0.37053387495689094,63,5,0.27993938233703375,2571,53,8.207978680729866e-06,5,3270,0,26754,1.8625054508447647e-05,seed0_late_t49,fixed,23484,0,0.0705626173876226,0.01986133330501616,790,0,0.0,normal,53,1.0,0.00014370889402925968,2191.0,0,11→63,8,,tuning,11,0.37053387495689094,1.0,False,49
alpha_beta,0,,{},8,0.04859949112869799,0.00420820526778698,few_legal,8,alpha_beta_d5_b8,299,5,5,5,adaptive_disabled,False,5,0.2903448750730604,0.2903448750730604,20,5,0.22220235457643867,1936,27,5.916925147175789e-06,5,2475,0,20037,1.5041092410683632e-05,seed0_few_legal_t8,fixed,17562,0,0.0529617452993989,0.01506840018555522,76,0,0.0,normal,27,1.0,9.14169941097498e-05,2341.0,0,20→20,8,,tuning,20,0.2903448750730604,1.0,False,8
alpha_beta,0,,{},8,0.04590172041207552,0.004024186637252569,early_pruning,8,alpha_beta_d5_b8,278,5,5,5,adaptive_disabled,False,5,0.2731139580719173,0.2731139580719173,20,5,0.20863041724078357,1797,58,8.582836017012596e-06,5,2299,0,18702,1.520826481282711e-05,seed0_early_pruning_t17,fixed,16403,0,0.0500031104311347,0.014298181282356381,490,0,0.0,normal,58,1.0,0.00015845801681280136,2301.0,0,28→20,8,,tuning,28,0.2731139580719173,1.0,False,17
alpha_beta,0,,{},8,0.053817043313756585,0.004006484057754278,early,8,alpha_beta_d5_b8,265,5,5,5,adaptive_disabled,False,5,0.25401741708628833,0.25401741708628833,20,5,0.1823732783086598,1609,3603,0.00033900002017617226,5,2086,0,22009,2.8125010430812836e-05,seed1_early_t0,fixed,19923,0,0.04849780024960637,0.013250046409666538,50000,0,0.0,normal,3603,1.0,0.009529167087748647,2349.0,1,20→20,8,,tuning,20,0.25401741708628833,1.0,False,0
alpha_beta,0,,{},8,0.04412166285328567,0.003622150979936123,middle,8,alpha_beta_d5_b8,273,5,5,5,adaptive_disabled,False,5,0.24174937489442527,0.24174937489442527,35,5,0.1811282888520509,1669,64,8.624978363513947e-06,5,2148,0,18264,1.712515950202942e-05,seed1_middle_t120,fixed,16116,0,0.047764532966539264,0.012655803002417088,881,0,0.0,normal,64,1.0,0.00017499993555247784,2229.0,1,9→35,8,,tuning,9,0.24174937489442527,1.0,False,120
alpha_beta,0,,{},8,0.04472401039674878,0.0037160166539251804,late,8,alpha_beta_d5_b8,271,5,5,5,adaptive_disabled,False,5,0.2661429999861866,0.2661429999861866,35,5,0.20368681964464486,1878,41,6.292015314102173e-06,5,2380,0,18844,1.4456920325756073e-05,seed1_late_t236,fixed,16464,0,0.04850569204427302,0.013803780311718583,90,0,0.0,normal,41,1.0,0.00012595904991030693,2229.0,1,35→35,8,,tuning,35,0.2661429999861866,1.0,False,236
alpha_beta,0,,{},8,0.04307426372542977,0.003576272865757346,few_legal,8,alpha_beta_d5_b8,261,5,5,5,adaptive_disabled,False,5,0.26127087511122227,0.26127087511122227,20,5,0.2008953259792179,1827,23,4.540896043181419e-06,5,2317,0,18251,1.5126308426260948e-05,seed1_few_legal_t115,fixed,15934,0,0.046765014762058854,0.013511742232367396,69,0,0.0,normal,23,1.0,7.91249331086874e-05,2229.0,1,20→20,8,,tuning,20,0.26127087511122227,1.0,False,115
alpha_beta,0,,{},8,0.045459582936018705,0.0036743769887834787,early_pruning,8,alpha_beta_d5_b8,307,5,5,5,adaptive_disabled,False,5,0.21757845813408494,0.21757845813408494,24,5,0.15646808268502355,1485,63,8.292030543088913e-06,5,1972,0,19248,1.512398011982441e-05,seed1_early_pruning_t75,fixed,17276,0,0.049141467083245516,0.01176615827716887,771,0,0.0,normal,63,1.0,0.00017933407798409462,2249.0,1,2→24,8,,tuning,2,0.21757845813408494,1.0,False,75
