dictionary_size,exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
50000,,alpha_beta,0.2149425381773876,baseline_alpha_beta,0,False,ended_with_n,D50000_seed0_baseline_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,alpha_beta,0.20912980694785283,improved_fixed_alpha_beta,0,0,449,second
50000,,beam_negamax,0.1385805105189757,baseline_beam_negamax,0,False,ended_with_n,D50000_seed0_baseline_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,beam_negamax,0.2837127811185872,improved_fixed_beam_negamax,0,0,261,second
50000,,pvs,0.19382794595944386,baseline_pvs,0,False,ended_with_n,D50000_seed0_baseline_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,pvs,0.22454574477680062,improved_fixed_pvs,0,0,449,second
50000,,alpha_beta,0.39460532805296006,improved_adaptive_alpha_beta,3,False,ended_with_n,D50000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,beam_negamax,0.4113174287084904,improved_adaptive_beam_negamax,0,0,270,first
50000,,alpha_beta,0.3933268369475517,improved_adaptive_alpha_beta,4,False,ended_with_n,D50000_seed0_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,pvs,0.3937368151753666,improved_adaptive_pvs,3,0,298,first
50000,,alpha_beta,0.41335809110730354,improved_adaptive_alpha_beta,8,False,ended_with_n,D50000_seed0_improved_adaptive_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,alpha_beta,0.24585620356291266,improved_fixed_alpha_beta,0,0,280,first
50000,,beam_negamax,0.3893914184813246,improved_adaptive_beam_negamax,0,False,ended_with_n,D50000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,alpha_beta,0.41477469622125673,improved_adaptive_alpha_beta,9,0,235,second
50000,,beam_negamax,0.42818902580846296,improved_adaptive_beam_negamax,2,False,ended_with_n,D50000_seed0_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,pvs,0.4017908843051966,improved_adaptive_pvs,12,0,231,second
50000,,beam_negamax,0.4252376844371228,improved_adaptive_beam_negamax,0,False,ended_with_n,D50000_seed0_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,beam_negamax,0.3793057958255448,improved_fixed_beam_negamax,0,0,379,second
50000,,pvs,0.3966428850168236,improved_adaptive_pvs,7,False,ended_with_n,D50000_seed0_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,alpha_beta,0.3957643220481232,improved_adaptive_alpha_beta,3,0,266,first
50000,,pvs,0.39195536630443084,improved_adaptive_pvs,4,False,ended_with_n,D50000_seed0_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,beam_negamax,0.43420394345605384,improved_adaptive_beam_negamax,0,0,259,second
50000,,pvs,0.3825516968004485,improved_adaptive_pvs,7,False,ended_with_n,D50000_seed0_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,pvs,0.20037100453129306,improved_fixed_pvs,0,0,281,second
50000,,alpha_beta,0.24740055822820234,improved_fixed_alpha_beta,0,False,ended_with_n,D50000_seed0_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,alpha_beta,0.3445719531274252,improved_adaptive_alpha_beta,2,0,352,first
50000,,beam_negamax,0.309193497923955,improved_fixed_beam_negamax,0,False,ended_with_n,D50000_seed0_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,beam_negamax,0.4356210537815992,improved_adaptive_beam_negamax,1,0,1560,first
50000,,pvs,0.23753468227611543,improved_fixed_pvs,0,False,ended_with_n,D50000_seed0_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D50000_L2-12_seed0.runtime.json,pvs,0.42781129755478886,improved_adaptive_pvs,15,0,239,second
