agent,profile,position_count,lowered_depth_count,lowered_depth_rate,raised_depth_count,raised_depth_rate,max_effective_depth,move_change_when_lowered_rate,previous_time_next_fixed_time_correlation,legal_edges_effective_depth_correlation,remaining_words_effective_depth_correlation,depth_change_count,depth_oscillation_count
alpha_beta,fixed,9,0,0.0,0,0.0,5,0.0,-0.5329410203475807,,,0,0
alpha_beta,conservative,9,6,0.6666666666666666,0,0.0,5,0.5,0.08579423605646344,0.7575144515820317,0.760238316938304,5,3
alpha_beta,standard,9,0,0.0,2,0.2222222222222222,6,0.0,0.20186439321471786,-0.28841715667100654,-0.2853338841291502,2,1
alpha_beta,aggressive,9,0,0.0,3,0.3333333333333333,6,0.0,-0.8102276990498055,-0.3740770463339521,-0.3767753368951896,4,2
pvs,fixed,9,0,0.0,0,0.0,5,0.0,0.05258723441784935,,,0,0
pvs,conservative,9,2,0.2222222222222222,0,0.0,5,0.5,0.12954854922607403,0.2846880366212211,0.2852690715261225,1,0
pvs,standard,9,0,0.0,1,0.1111111111111111,6,0.0,-0.12817285938560227,-0.1864060664835891,-0.18238593741740594,2,1
pvs,aggressive,9,0,0.0,5,0.5555555555555556,6,0.0,-0.7436626865997049,-0.5961877519943356,-0.5961679242963875,2,0
beam_negamax,fixed,9,0,0.0,0,0.0,6,0.0,-0.23054155267883145,,,0,0
beam_negamax,conservative,9,0,0.0,0,0.0,6,0.0,-0.46043419285978554,,,0,0
beam_negamax,standard,9,0,0.0,3,0.3333333333333333,7,0.0,0.009369832611849283,-0.3849553012882082,-0.38186251843506397,3,1
beam_negamax,aggressive,9,0,0.0,5,0.5555555555555556,7,0.0,-0.03382911722792176,-0.5961877519943356,-0.5961679242963875,2,0
