agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.030814443482086062,0.002526183146983385,early,8,alpha_beta_d5_b8__fixed,245,5,5,5,adaptive_disabled,False,5,0.1358570831362158,0.1358570831362158,20,5,0.09471344202756882,1184,2248,0.00021112500689923763,5,1577,0,12923,2.7374131605029106e-05,seed0_early_t0,fixed,11346,0,0.02769651194103062,0.007411337923258543,10000,0,0.0,normal,2248,1.0,0.005797292105853558,449.5,0,20→20,8,0,tuning,20,0.1358570831362158,1.0,False,0,True,True
alpha_beta,0,,{},8,0.03692369186319411,0.0036106749903410673,few_legal,8,alpha_beta_d5_b8__fixed,351,5,5,5,adaptive_disabled,False,5,0.1936122919432819,0.1936122919432819,32,5,0.14101964212022722,1681,8,2.62516550719738e-06,5,2235,0,14508,2.120761200785637e-05,seed0_few_legal_t1,fixed,12273,0,0.040781459072604775,0.011758482782170177,10,0,0.0,caution,8,1.0,2.8875190764665604e-05,419.5,0,35→32,8,1,tuning,35,0.1936122919432819,1.0,False,1,True,True
alpha_beta,0,,{},8,0.050080290995538235,0.004924091976135969,early_pruning,8,alpha_beta_d5_b8__fixed,298,5,5,5,adaptive_disabled,False,5,0.29600391583517194,0.29600391583517194,58,5,0.22240823484025896,1773,37,5.542067810893059e-06,5,2273,0,12915,1.612468622624874e-05,seed0_early_pruning_t17,fixed,10642,0,0.055426053470000625,0.01804062770679593,96,0,0.0,normal,37,1.0,0.00010733306407928467,369.5,0,28→58,8,2,tuning,28,0.29600391583517194,1.0,False,17,True,True
alpha_beta,0,,{},8,0.019805667223408818,0.0016866237856447697,middle,8,alpha_beta_d5_b8__fixed,201,5,5,5,adaptive_disabled,False,5,0.08820716687478125,0.08820716687478125,46,5,0.06171595840714872,719,9,3.250082954764366e-06,5,1014,0,8241,2.2208085283637047e-05,seed0_middle_t27,fixed,7146,0,0.02157807000912726,0.004849888384342194,11,0,0.0,caution,9,1.0,3.779190592467785e-05,209.5,0,63→46,8,3,tuning,63,0.08820716687478125,1.0,False,27,True,True
alpha_beta,0,,{},8,0.036167565966024995,0.0033805719576776028,late,8,alpha_beta_d5_b8__fixed,344,5,5,5,adaptive_disabled,False,5,0.24130754196085036,0.24130754196085036,46,5,0.1875008714850992,2322,32,5.58304600417614e-06,5,2930,0,14805,1.762574538588524e-05,seed0_late_t49,fixed,11772,0,0.03972021909430623,0.013966409489512444,159,0,0.0,normal,32,1.0,9.683310054242611e-05,308.0,0,11→46,8,4,tuning,11,0.24130754196085036,1.0,False,49,True,True
alpha_beta,0,,{},8,0.03877274435944855,0.00337762339040637,early,8,alpha_beta_d5_b8__fixed,322,5,5,5,adaptive_disabled,False,5,0.1666552908718586,0.1666552908718586,35,5,0.11404429958201945,1407,2284,0.00023224996402859688,5,1910,0,15786,3.1456584110856056e-05,seed1_early_t0,fixed,13876,0,0.03627549298107624,0.009961916599422693,10000,0,0.0,normal,2284,1.0,0.006109875161200762,708.5,1,4→35,8,0,tuning,4,0.1666552908718586,1.0,False,0,True,True
alpha_beta,0,,{},8,0.05072357039898634,0.0046354897785931826,early_pruning,8,alpha_beta_d5_b8__fixed,504,5,5,5,adaptive_disabled,False,5,0.24378095916472375,0.24378095916472375,55,5,0.17346905753947794,2061,37,7.4999406933784485e-06,5,2808,0,20144,1.7626211047172546e-05,seed1_early_pruning_t75,fixed,17321,0,0.055553624173626304,0.014579234179109335,129,0,0.0,normal,37,1.0,0.00015391712076961994,664.0,1,2→55,8,1,tuning,2,0.24378095916472375,1.0,False,75,True,True
alpha_beta,0,,{},8,0.03714332659728825,0.003691204125061631,middle,8,alpha_beta_d5_b8__fixed,366,5,5,5,adaptive_disabled,False,5,0.2129134580027312,0.2129134580027312,35,5,0.15873262751847506,1851,47,6.3749030232429504e-06,5,2453,0,14873,1.8873950466513634e-05,seed1_middle_t120,fixed,12370,0,0.04102700878866017,0.013002780731767416,163,0,0.0,normal,47,1.0,0.0001257921103388071,1094.0647727272728,1,9→35,8,2,tuning,9,0.2129134580027312,1.0,False,120,True,True
alpha_beta,0,,{},8,0.028411553939804435,0.0025882862973958254,late,7,alpha_beta_d5_b8__fixed,279,5,5,5,adaptive_disabled,False,5,0.12345149996690452,0.12345149996690452,37,5,0.08495527296327055,978,7,2.9581133276224136e-06,5,1389,0,10774,2.3416709154844284e-05,seed1_late_t236,fixed,9344,0,0.031174390809610486,0.007261211285367608,8,0,0.0,caution,7,1.0,3.4250086173415184e-05,624.0,1,35→37,7,3,tuning,35,0.12345149996690452,1.0,False,236,True,True
alpha_beta,0,,{},8,0.038008798379451036,0.007100157672539353,early,8,alpha_beta_d5_b8__conservative,245,5,4,5,elapsed_ratio_high,True,5,0.2093786660116166,0.2093786660116166,20,5,0.1510466681793332,1184,2248,0.00020699994638562202,6,1577,0,12923,3.116508014500141e-05,seed0_early_t0,conservative,11346,0,0.039294536458328366,0.012597337365150452,10000,0,0.0,normal,2248,1.0,0.006201958982273936,449.5,0,20→20,8,0,tuning,20,0.8375146640464664,0.25,False,0,True,True
