config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate,max_depth_fixed_move_agreement_rate,max_depth_fixed_score_agreement_rate
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,9,0.2824358702637255,0.2323366249911487,0.6171960001811385,0.6171960001811385,0.6171960001811385,0.6171960001811385,0,0.0,3255.777777777778,2808,7133,5.333333333333333,523.2222222222222,7.888888888888889,1.0,4,0.0,0.8888888888888888,0.6666666666666666
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,9,0.10778085188940167,0.05670045898295939,0.24811812513507903,0.24811812513507903,0.24811812513507903,0.24811812513507903,0,0.0,1050.888888888889,553,2930,4.333333333333333,523.2222222222222,7.888888888888889,1.0,5,0.0,0.6666666666666666,0.3333333333333333
alpha_beta_d5_b8__fixed,alpha_beta,5,5,5,1.0,8,,fixed,9,0.18908768975072437,0.1936122919432819,0.29600391583517194,0.29600391583517194,0.29600391583517194,0.29600391583517194,0,0.0,2065.4444444444443,2235,2930,5.0,523.2222222222222,7.888888888888889,1.0,0,0.0,1.0,1.0
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,9,0.2884291852306988,0.19412554195150733,0.9925014169421047,0.9925014169421047,0.9925014169421047,0.9925014169421047,0,0.0,3264.8888888888887,2273,10669,5.222222222222222,523.2222222222222,7.888888888888889,1.0,2,0.0,1.0,0.7777777777777778
beam_negamax_d6_w8-6-4-2__aggressive,beam_negamax,6,6,8,0.6,,8-6-4-2,aggressive,9,0.28195301389011246,0.3260947910603136,0.45455437479540706,0.45455437479540706,0.45455437479540706,0.45455437479540706,0,0.0,4559.222222222223,5257,6008,6.555555555555555,523.2222222222222,7.888888888888889,1.0,2,0.0,0.6666666666666666,0.4444444444444444
beam_negamax_d6_w8-6-4-2__conservative,beam_negamax,6,6,7,0.25,,8-6-4-2,conservative,9,0.17166673161813784,0.16942449985072017,0.1834694999270141,0.1834694999270141,0.1834694999270141,0.1834694999270141,0,0.0,2895.222222222222,2936,2936,6.0,523.2222222222222,7.888888888888889,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,9,0.17890755539863473,0.1727604588959366,0.23839312489144504,0.23839312489144504,0.23839312489144504,0.23839312489144504,0,0.0,2895.222222222222,2936,2936,6.0,523.2222222222222,7.888888888888889,1.0,0,0.0,1.0,1.0
beam_negamax_d6_w8-6-4-2__standard,beam_negamax,6,6,8,0.4,,8-6-4-2,standard,9,0.2356688472080148,0.18202850013040006,0.4055078749079257,0.4055078749079257,0.4055078749079257,0.4055078749079257,0,0.0,3876.5555555555557,2936,6008,6.333333333333333,523.2222222222222,7.888888888888889,1.0,3,0.0,0.7777777777777778,0.6666666666666666
pvs_d5_b8__aggressive,pvs,5,5,7,0.6,8,,aggressive,9,0.2921220882692271,0.28052775003015995,0.528463208116591,0.528463208116591,0.528463208116591,0.528463208116591,0,0.0,3740.4444444444443,3454,7302,5.555555555555555,523.2222222222222,7.888888888888889,1.0,2,0.008557001831673587,0.8888888888888888,0.4444444444444444
pvs_d5_b8__conservative,pvs,5,5,6,0.25,8,,conservative,9,0.12515331010541153,0.1331662500742823,0.21621233294717968,0.21621233294717968,0.21621233294717968,0.21621233294717968,0,0.0,1560.3333333333333,1779,2741,4.777777777777778,523.2222222222222,7.888888888888889,1.0,1,0.014249933549688771,0.8888888888888888,0.7777777777777778
pvs_d5_b8__fixed,pvs,5,5,5,1.0,8,,fixed,9,0.14625299993592003,0.1390351669397205,0.2214580411091447,0.2214580411091447,0.2214580411091447,0.2214580411091447,0,0.0,1720.111111111111,1779,2741,5.0,523.2222222222222,7.888888888888889,1.0,0,0.01029123412271535,1.0,1.0
pvs_d5_b8__standard,pvs,5,5,7,0.4,8,,standard,9,0.19090553246335024,0.14972395892255008,0.5337042498867959,0.5337042498867959,0.5337042498867959,0.5337042498867959,0,0.0,2332.777777777778,1779,7302,5.111111111111111,523.2222222222222,7.888888888888889,1.0,2,0.009925851932944851,1.0,0.8888888888888888
