seed,target,agent,games,wins,losses,draws,win_rate,mean_time_sec,timeout_count
0,improved_adaptive_alpha_beta,alpha_beta,6,4,2,0,0.6666666666666666,0.2961353602672895,2
0,improved_adaptive_beam_negamax,beam_negamax,6,1,5,0,0.16666666666666666,0.3769539852287673,1
0,improved_adaptive_pvs,pvs,6,5,1,0,0.8333333333333334,0.29954556307938024,5
0,improved_fixed_alpha_beta,alpha_beta,2,0,2,0,0.0,0.10965917705517524,0
0,improved_fixed_beam_negamax,beam_negamax,2,1,1,0,0.5,0.19917425801501484,0
0,improved_fixed_pvs,pvs,2,1,1,0,0.5,0.1255799657233433,0
1,improved_adaptive_alpha_beta,alpha_beta,6,4,2,0,0.6666666666666666,0.34773425435693883,12
1,improved_adaptive_beam_negamax,beam_negamax,6,4,2,0,0.6666666666666666,0.40562788478567136,1
1,improved_adaptive_pvs,pvs,6,4,2,0,0.6666666666666666,0.32955804231102387,10
1,improved_fixed_alpha_beta,alpha_beta,2,0,2,0,0.0,0.11390036440915388,0
1,improved_fixed_beam_negamax,beam_negamax,2,0,2,0,0.0,0.18817825033631802,0
1,improved_fixed_pvs,pvs,2,0,2,0,0.0,0.10526504977874887,0
2,improved_adaptive_alpha_beta,alpha_beta,6,3,3,0,0.5,0.38493058530954444,11
2,improved_adaptive_beam_negamax,beam_negamax,6,2,4,0,0.3333333333333333,0.3865608352603866,1
2,improved_adaptive_pvs,pvs,6,2,4,0,0.3333333333333333,0.356167978536976,14
2,improved_fixed_alpha_beta,alpha_beta,2,2,0,0,1.0,0.13176866308251642,0
2,improved_fixed_beam_negamax,beam_negamax,2,1,1,0,0.5,0.1853464426209085,0
2,improved_fixed_pvs,pvs,2,2,0,0,1.0,0.12976327019129252,0
